id,full_sentence,sentence,words,suffixes,missing_words,morphemes
bilkent-turkish-writings-1701,Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin olmamasının bu duruma sebep olduğunu anlamış oldum,Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin ___ bu duruma sebep olduğunu anlamış oldum,['ol'],"['nin', 'nün', 'm', 'm', 'si', 'me', 'ın', 'ma', 'ma', 'nn', 'sı', 'nun', 's', 'me', 'ün', 'n', 'su', 'in', 'un', 'sü', 'nın']",['olmamasının'],"[['ol', 'mA', 'mA', 'sH', 'NHn']]"
bilkent-turkish-writings-1239,"Bir süre ayrı kalan çift, acıya artık dayanamaz ve her şeyi yok sayarak bir araya gelir","Bir süre ayrı kalan çift, acıya artık ___ ve her şeyi yok sayarak bir araya gelir",['dayan'],"['m', 'me', '', 'e', 'ma', 'ya', 'y', 'ye', 'z', 'a']",['dayanamaz'],"[['dayan', 'YA', 'mA', 'z']]"
bilkent-turkish-writings-6740,"Yazıyı bir şeylere alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik","Yazıyı bir ___ alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik",['şey'],"['e', 'lr', 'lar', '', 'ler', 'ye', 'y', 'a', 'ya']",['şeylere'],"[['şey', 'lAr', 'YA']]"
bilkent-turkish-writings-6389,"Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya bıraksalardı kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı","Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya ___ kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı",['bırak'],"['ydu', 'tu', 'tı', 'tü', 't', 'ydı', 'ytu', 'dü', 'lar', 'ler', 'ytü', 'yti', 'lr', 'ydi', 'yd', 'ydü', 'ti', 'yt', 'ytı', 'd', 'du', 'se', 'dı', 'sa', 's', 'di']",['bıraksalardı'],"[['bırak', 'sA', 'lAr', 'YDH']]"
bilkent-turkish-writings-368,"Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü açıklayamamak","Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü ___",['açık'],"['y', 'mk', 'me', 'a', 'le', 'mek', 'ma', 'la', 'ye', 'e', 'mak', 'l', 'ya', '', 'm']",['açıklayamamak'],"[['açık', 'lA', 'YA', 'mA', 'mAk']]"
bilkent-turkish-writings-398,Bizi meraklandıran bir şey kalmamıştır artık hayatımızda,Bizi ___ bir şey kalmamıştır artık hayatımızda,['merak'],"['lan', '', 'dür', 'ln', 'ya', 'tır', 'tür', 'dur', 'y', 'dir', 'ye', 'tur', 'tir', 'n', 'e', 'tr', 'dr', 'a', 'dır', 'len']",['meraklandıran'],"[['merak', 'lAn', 'DHr', 'YA', 'n']]"
bilkent-turkish-writings-4599,Çoğumuz kelimelere kendi hayatımızı yansıttığımızın farkında bile olmayız,Çoğumuz kelimelere kendi hayatımızı ___ farkında bile olmayız,['yansı'],"['tük', 'ümuz', 'dk', 'mz', 'ımz', 'mız', 'tk', 'umuz', 'nün', 'ımız', 'umiz', 'dık', 'nın', 'ümüz', 'dik', 'nn', 'imiz', 'imız', 'ımiz', 'n', 'imuz', 'müz', 'umız', 'ımuz', 'tık', 'nin', 'ümz', 'ümiz', 'ımüz', 'un', 'tik', 'dük', 'imz', 'in', 'ümız', 'imüz', 'nun', 'umüz', 'miz', 't', 'ın', 'ün', 'tuk', 'duk', 'umz', 'muz']",['yansıttığımızın'],"[['yansı', 't', 'DHk', 'HmHz', 'NHn']]"
bilkent-turkish-writings-5084,Çözülmesi güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir,___ güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir,['çöz'],"['l', 'me', 'sü', 'si', 'ıl', 'sı', 'il', 'ul', 'm', 'ma', 'ül', 's', 'su']",['Çözülmesi'],"[['çöz', 'Hl', 'mA', 'sH']]"
bilkent-turkish-writings-3754,İnsanlar bu düşünce yapısına hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor,İnsanlar bu düşünce ___ hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor,['yapı'],"['e', 'y', 'sin', 'sn', 'ya', 'sun', 'ye', 'sın', '', 'a', 'sün']",['yapısına'],"[['yapı', 'sHn', 'YA']]"
bilkent-turkish-writings-5268,"Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından beynimize kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak","Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından ___ kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak",['beyin'],"['y', 'e', 'ya', 'uz', 'üz', 'um', 'ye', 'yz', 'im', 'iz', 'yüz', 'üm', 'a', 'ım', 'yuz', 'z', 'ız', 'yız', 'm', '', 'yiz']",['beynimize'],"[['beyin', 'Hm', 'YHz', 'YA']]"
