word	segments	num_segments	lemma	suffix	pos	sentence
aasi	aasi	1	aasi	asi	NOUN	Aasi on hyvin älykäs eläin.
affiini	affiini	1	affii	ini	NOUN	Matematiikassa affiini tarkoittaa tietynlaista geometrista muunnosta.
aho	aho	1	aho	aho	PROPN	Ulkona näkyi aho, jonka kauneutta oli vaikea kuvailla.
aito	aito	1	aito	ito	ADJ	Tämä on aito taulu, ei jäljennös.
akku	akku	1	akku	kku	NOUN	Minun täytyy ladata puhelimeni akku.
ala	ala	1	alkaa	ala	VERB	Hän ei ala ala-arvoiseen työhön.
armo	armo	1	armo	rmo	PROPN	Armo on suuri lahja, joka annetaan kaikille.
arpa	arpa	1	arpa	rpa	NOUN	Arpa on heitetty ja voittaja on selvillä.
arrogantti	arrogantti	1	arrogantti	tti	NOUN	Hän on todella arrogantti henkilö.
delikaatti	delikaatti	1	delikaatti	tti	NOUN	Tämä asia on erittäin delikaatti.
demo	demo	1	demo	emo	PROPN	Bändin uusi demo kuuloistaa todella hyvältä.
ehto	ehto	1	ehto	hto	NOUN	Ainoa ehto rauhalle on, että kaikki osapuolet ovat tyytyväisiä.
eksistentiaali	eksistentiaali	1	eksistentiaali	ali	NOUN	Eksistentiaali kysymys on sellainen, joka liittyy olemassaoloon.
elämä	elämä	1	elämä	ämä	NOUN	Elämä on kaunista.
fiksu	fiksu	1	fiksu	ksu	ADJ	Hän on todella fiksu.
haalea	haalea	1	haalea	lea	ADJ	Auton haalea väripinta näytti todella huonolta.
häkäinen	häkäinen	1	häkäinen	nen	ADJ	Auto oli niin häkäinen, että sitä oli vaarallista hengittää sisään.
halpa	halpa	1	halpa	lpa	ADJ	Tämä tuote on todella halpa.
hauska	hauska	1	hauska	ska	ADJ	Koomikko Ilari Johansson on todella hauska.
heikohko	heikohko	1	heikohko	hko	ADJ	Hänen vointinsa oli vieläkin heikohko.
hervoton	hervoton	1	hervoton	ton	ADJ	Hervoton nauru täytti koko huoneen.
hirmu	hirmu	1	hirmu	rmu	NOUN	Hän juoksi hirmu hirmu nopeasti.
hoikka	hoikka	1	hoikka	kka	ADJ	Hän on erittäin hoikka ihminen.
humu	humu	1	humu	umu	NOUN	Kesäjuhlien humu oli korviahuumaava.
hymy	hymy	1	hymy	ymy	NOUN	Hänen kasvoillaan oli leveä hymy.
hymy	hymy	1	hymy	ymy	NOUN	Hänen kasvoillaan oli leveä hymy.
hyponyymi	hyponyymi	1	hyponyymi	ymi	PROPN	Hyponyymi on alakäsite, joka kuuluu jonkin yläkäsitteen alle.
ihme	ihme	1	ihme	hme	NOUN	On todellinen ihme, että hän selvisi onnettomuudesta vahingoittumattomana.
iloinen	iloinen	1	iloinen	nen	ADJ	Olen todella iloinen, että tulit käymään.
karhea	karhea	1	karhe	hea	ADJ	Hänen partansa oli karhea, kuin hiekkapaperi.
keppi	keppi	1	keppi	ppi	PROPN	Keppi on hyvä apuväline kävellessä.
kierto	kierto	1	kierto	rto	NOUN	Planeetojen kierto auringon ympäri on tarkkaan määritelty prosessi, joka seuraa luonnonlakeja.
kilo	kilo	1	kilo	ilo	NOUN	Kilo kanaa maksaa USA:ssa kaupassa vain muutaman dollarin.
kirjain	kirjain	1	kirjain	ain	NOUN	Kirjoita se kirjain kaunokirjoituksella.
kova	kova	1	kova	ova	ADJ	Hän on kova kova työskentelemään, viipyen toimistolla iltamyöhään asti.
laiha	laiha	1	laiha	iha	ADJ	Se on kyllä laiha lohtu, sanoi hän.
leppä	leppä	1	leppä	ppä	PROPN	Leppä on kaunis suomalainen puulaji.
pehmeä	pehmeä	1	pehmeä	meä	ADJ	Pehmeä patja on täksi yölle paras vaihtoehto.
pelottava	pelottava	1	pelottava	ava	ADJ	Se on todella pelottava elokuva, jota en halua katsoa yksin.
robusti	robusti	1	robusti	sti	ADV	Tämä rakennus on erittäin robusti ja kestävä.
rohkea	rohkea	1	rohkea	kea	ADJ	Hän on todella rohkea henkilö.
roteva	roteva	1	roteva	eva	ADJ	Hän on roteva mies, joka tekee kovasti töitä.
sileä	sileä	1	sileä	leä	ADJ	Tämä kangas on erittäin sileä.
