word	segments	num_segments	lemma	pos	prefixes	root	suffixes	sentence
yöpaikkanne	yöpaikka-nne	2	yöpaikka	NOUN		yöpaikka	nne	Tuolla saattaa olla seuraava yöpaikkanne.
aiheuttaakohan	aiheutta-a-ko-han	4	aiheuttaa	VERB		aiheutta	a-ko-han	Aiheuttaakohan tämä lääke sivuvaikutuksia?
aikojen	aiko-j-en	3	aika	NOUN		aiko	j-en	Aikojen kuluessa prosessit ovat kehittyneet.
ajattelikohan	ajattel-i-ko-han	4	ajatella	VERB		ajattel	i-ko-han	Ajattelikohan hän koskaan palata kotiin?
plakkariin	plakkari-in	2	plakkari	NOUN		plakkari	in	Alku oli hankala, mutta kun hän sai muutaman kuukauden kokemusta plakkariin, hän pärjäsi hyvin vanhojen työntekijöiden kanssa.
vasemmistoliitolle	vasemmistoliito-lle	2	vasemmistoliitto	NOUN		vasemmistoliito	lle	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
arovuokkohan	arovuokko-han	2	arovuokko	NOUN		arovuokko	han	Arovuokkohan on yksi kauneimmista keväällä kukkivista kukista.
auttaisikohan	autta-isi-ko-han	4	auttaa	VERB		autta	isi-ko-han	Auttaisikohan se, jos soittaisin tekniseen tukeen?
rumpusooloillaankin	rumpu-soolo-i-lla-an-kin	6	rumpusoolo	NOUN		rump	imm-i-lla-an-kin	Ehdokas vakuutti äänestäjät mielipiteittensä lisäksi rumpusooloillaankin.
ehtisinköhän	eht-isi-n-kö-hän	5	ehtiä	VERB		eht	isi-n-kö-hän	Ehtisinköhän vielä käydä kaupassa ennen junan saapumista?
ehtisköhän	eht-is-kö-hän	4	ehtiä	VERB		eht	is-kö-hän	Ehtisköhän sitä vielä ostaa ruokaa ennen kaupan sulkemista?
eiköhän	ei-kö-hän	3	ei	VERB		ei	kö-hän	Eiköhän meidän pitäisi lähteä jo kotiin.
eronnut	eron-nut	2	ero	ADJ		eron	nut	Elokuvan uusi versio ei eronnut paljoa vanhasta.
ollutkaan	oll-ut-kaan	3	olla	AUX		oll	ut-kaan	En ollutkaan mennyt kotiin illan jälkeen.
ollutkaan	oll-ut-kaan	3	olla	VERB		oll	ut-kaan	En ollutkaan niin väsynyt kuin luulin.
ymmärtänyt	ymmärtä-nyt	2	ymmärtää	VERB		ymmärtä	nyt	En ymmärtänyt kaikkea, mitä sanoit.
esitutkintapöytäkirjat	esi-tutkinta-pöytäkirja-t	4	esitutkintapöytäkirja	NOUN	esi-tutkinta	pöytäkirja	t	Esitutkintapöytäkirjat ovat kaikkien nähtävillä osana oikeudenkäyntiä.
ratkaisua	ratkaisu-a	2	ratkaisu	NOUN		ratkaisu	a	Etsimme edelleen ongelmaan ratkaisua.
täyttäviä	täyttä-v-i-ä	4	täyttävä	ADJ		täyttä	v-i-ä	Etsin täyttäviä aterioita pitkälle työpäivälle.
ohjauskorkojaan	ohjaus-korko-j-a-an	5	ohjauskorko	NOUN	ohjaus	korko	j-a-an	Euroopan keskuspankki on päättänyt nostaa ohjauskorkojaan inflaation hillitsemiseksi.
pienin	pieni-n	2	pieni	ADJ		pieni	n	Euroopan pienin valtio lienee San Marino.
eurovaaleja	eurovaale-j-a	3	eurovaalit	NOUN		eurovaale	j-a	Eurovaaleja ei ole sopivaa jättää väliin.
määrärahojen	määrä-raho-j-en	4	määräraha	NOUN	määrä	raho	j-en	Hallitus keskustelee ensi viikolla määrärahojen jakamisesta eri ministeriöille.
ennallistamissääntelylle	ennallista-mis-sääntely-lle	4	ennallistamissääntely	NOUN	ennallista-mis	sääntely	lle	Hallitus on asettanut uusia rajoituksia ennallistamissääntelylle.
