token	lemma	suffix	pos
äänen	ääni	nen	NOUN
äänestämään	äänestää	ään	VERB
äänimäärän	äänimäärä	rän	NOUN
äännevaihteluiden	äännevaihteluiden	den	NOUN
äännevaihteluiden	äännevaihteluiden	den	NOUN
aasi	aasi	asi	NOUN
affiini	affii	ini	NOUN
aho	aho	aho	PROPN
aiheuttaakohan	aiheuttaakohan	han	VERB
aikoina	aika	ina	NOUN
aikojen	aika	jen	NOUN
aito	aito	ito	ADJ
ajateltua	ajatella	tua	VERB
ajateltua	ajateltua	tua	VERB
ajattelevia	ajattelea	via	VERB
ajattelevia	ajatteleva	via	VERB
ajattelikohan	ajattelikohan	han	PROPN
akku	akku	kku	NOUN
aktivoituneet	aktivoitua	eet	VERB
aktivoituneet	aktivoituä	eet	VERB
ala	alkaa	ala	VERB
alapuolelle	alapuolelle	lle	ADP
antavaa	antaa	vaa	VERB
antavaa	antava	vaa	ADJ
armo	armo	rmo	PROPN
arovuokkohan	arovuokkohan	han	PROPN
arpa	arpa	rpa	NOUN
arrogantti	arrogantti	tti	NOUN
asiat	asia	iat	NOUN
asioita	asia	ita	NOUN
asuntolainaa	asuntolaina	naa	NOUN
auttaisikohan	auttaisikohan	han	ADV
avointa	avoin	nta	ADJ
delikaatti	delikaatti	tti	NOUN
demo	demo	emo	PROPN
ehtisinköhän	ehtisinköhän	hän	VERB
ehtisköhän	ehtisköhän	hän	NOUN
ehto	ehto	hto	NOUN
eiköhän	eiköhän	hän	ADV
eksistentiaali	eksistentiaali	ali	NOUN
elämä	elämä	ämä	NOUN
eli	eli	eli	CCONJ
ennallistamissääntelylle	ennallistamissääntelylle	lle	ADJ
ensin	ensin	sin	ADV
erityisrahoituksella	erityisrahoituknen	lla	NOUN
eronnut	erona	nut	VERB
esitutkintapöytäkirjat	esitutkintapöytäkirja	jat	NOUN
esitutkintapöytäkirjat	esitutkintapöytäkirja	jat	NOUN
europarlamentaarikkoa	europarlamentaarikko	koa	NOUN
europarlamenttipaikkaa	europarlamenttipaikka	kaa	NOUN
eurovaaleja	eurovaaleja	eja	NOUN
eurovaaleja	eurovaali	eja	NOUN
fiksu	fiksu	ksu	ADJ
haalea	haalea	lea	ADJ
häkäinen	häkäinen	nen	ADJ
hallitusratkaisut	hallitusratkaisu	sut	NOUN
hallitusratkaisut	hallitusratkaisut	sut	NOUN
halpa	halpa	lpa	ADJ
halvimmillaankin	halvimmillaan	kin	ADV
hauska	hauska	ska	ADJ
havaittuja	havaittuja	uja	VERB
heikohko	heikohko	hko	ADJ
heikoimmillaankin	heikoimmillaankin	kin	PROPN
henkilötyövuoden	henkilötyövuos	den	NOUN
hervoton	hervoton	ton	ADJ
hinnakkaimmillaankin	hinnakkaimmillaankin	kin	NOUN
hirmu	hirmu	rmu	NOUN
hitaimmillaankin	hitaimmillaankin	kin	PROPN
hoikka	hoikka	kka	ADJ
humu	humu	umu	NOUN
huonoimmillaankin	huonoimmillaankin	kin	ADV
hymy	hymy	ymy	NOUN
hymy	hymy	ymy	NOUN
hyponyymi	hyponyymi	ymi	PROPN
hyvillä	hyvä	llä	ADJ
ihme	ihme	hme	NOUN
iloinen	iloinen	nen	ADJ
innostuinpas	innostuinpas	pas	VERB
itselleen	itse	een	PRON
jäädäkseen	jäädä	een	AUX
jäädäkseen	jäädä	een	VERB
jääneet	jäädä	eet	VERB
jäi	jäädä	jäi	VERB
jaksaisikohan	jaksaisikohan	han	VERB
jalkojen	jalka	jen	NOUN
jalkojen	jalkojen	jen	NOUN
johtuisikohan	johtuisikohan	han	ADV
johtuiskohan	johtuiskohan	han	NOUN
johtuneekohan	johtuneekohan	han	ADV
kaksitasokuvauksiaan	kaksitasokuvauksiaan	aan	ADJ
kaksitasokuvauksiaan	kaksitasokuvauksiaan	aan	NOUN
kalleimmillaankin	kalleimmillaankin	kin	PROPN
kallistuvatkohan	kallistuvatkohan	han	PROPN
kampanjoinut	kampanjoia	nut	VERB
kannattaa	kannattaa	taa	VERB
kannattaisikohan	kannattaisikohan	han	VERB
kannattajat	kannattaja	jat	NOUN
karhea	karhe	hea	ADJ
käsititköhän	käsititköhän	hän	NOUN
kauden	kausi	den	NOUN
kävisköhän	kävisköhän	hän	VERB
kehitettyjen	kehitettyjen	jen	VERB
kehitettyjen	kehittää	jen	VERB
kehnoimmillaankin	kehnoimmillaankin	kin	ADV
keppi	keppi	ppi	PROPN
keräämää	keräämää	mää	VERB
keskittynyt	keskittyä	nyt	VERB
keskiviikkona	keskiviikko	ona	NOUN
keskuspankin	keskuspankin	kin	NOUN
keskuspankin	keskuspankki	kin	NOUN
kielelle	kieli	lle	NOUN
kielitieteeseen	kielitieteeseen	een	NOUN
kierto	kierto	rto	NOUN
kilo	kilo	ilo	NOUN
kirjain	kirjain	ain	NOUN
kiusallaankin	kiusallaankin	kin	ADV
kokeilinkohan	kokeilinkohan	han	VERB
koki	kokea	oki	VERB
kokopitkän	kokopitkä	kän	ADJ
kolmen	kolme	men	NUM
kolmen	kolme	men	NUM
kolmesta	kolme	sta	NUM
kommentoinut	kommentoia	nut	VERB
korkeimmillaankin	korkeimmillaankin	kin	ADJ
kortein	korte	ein	NOUN
kova	kova	ova	ADJ
koviksi	kovä	ksi	ADJ
kovimmillaankin	kovimmillaankin	kin	NOUN
kummallakohan	kummallakohan	han	ADV
kuorsaavatkohan	kuorsaavatkohan	han	ADV
kuulostipas	kuulostipas	pas	VERB
kuulunkohan	kuulunkohan	han	VERB
kymmenkertaisena	kymmenkertainen	ena	ADJ
kysymyksiä	kysymys	siä	NOUN
lähteeköhän	lähteeköhän	hän	ADV
lähtevät	lähteä	vät	VERB
lähtökohdistaan	lähtökohdistaan	aan	NOUN
laiha	laiha	iha	ADJ
lapsillaankaan	lapsillaankaan	aan	NOUN
leikkivätköhän	leikkivätköhän	hän	VERB
leppä	leppä	ppä	PROPN
liikepankkien	liikepankka	ien	NOUN
liikepankkien	liikepankki	ien	NOUN
liittymisestä	liittyminen	stä	NOUN
listataanpas	listataanpas	pas	VERB
loikki	loikki	kki	NOUN
loitontaa	loitonta	taa	ADJ
loppuisikohan	loppuisikohan	han	ADV
löytäisinköhän	löytäisinköhän	hän	VERB
luokitellaankin	luokitellaankin	kin	VERB
luopui	luopua	pui	VERB
maanantaihin	maanantaihin	hin	NOUN
maanantaihin	maanantat	hin	NOUN
maanantaina	maanantaina	ina	NOUN
maanantaina	maanantai	ina	NOUN
määrärahojen	määräraha	jen	NOUN
määrärahojen	määräraho	jen	NOUN
mahdatkohan	mahdatkohan	han	VERB
mahtaisikohan	mahtaisikohan	han	VERB
mahtaisinkohan	mahtaisinkohan	han	AUX
mahtaiskohan	mahtaiskohan	han	ADV
mahtoivatkohan	mahtoivatkohan	han	VERB
matalimmillaankin	matalimmillaankin	kin	PROPN
merkitseeköhän	merkitseeköhän	hän	VERB
mielipiteitään	mielipiteitään	ään	NOUN
millaisillakohan	millaisillakohan	han	NOUN
miltäköhän	miltäköhän	hän	ADJ
monenkohan	monenkohan	han	ADV
monissa	monissa	ssa	PRON
monissa	moni	ssa	PRON
muillekin	muillekin	kin	PRON
muistinkohan	muistinkohan	han	NOUN
muuttuvatkohan	muuttuvatkohan	han	PRON
näitköhän	näitköhän	hän	NOUN
näkeeköhän	näkeeköhän	hän	ADV
näkyvimpiin	näkyvimpiin	iin	ADJ
napsautinpas	napsautinpas	pas	VERB
neuvottelut	neuvottelu	lut	NOUN
neuvottelut	neuvottelu	lut	NOUN
nopeimmillaankin	nopeimmillaankin	kin	PROPN
nousseet	nousta	eet	VERB
nousukiitoa	nousukiito	toa	NOUN
objektiivisemman	objektiivisemman	man	ADJ
ohittaakohan	ohittaakohan	han	VERB
ohjauskorkojaan	ohjauskorkoja	aan	NOUN
olikohan	olikohan	han	AUX
olinkohan	olinkohan	han	AUX
olinpas	olinpas	pas	VERB
olisivatkohan	olisivatkohan	han	AUX
olitkohan	olitkohan	han	VERB
olivatkohan	olivatkohan	han	ADV
ollaankin	ollaankin	kin	AUX
ollaankohan	ollaankohan	han	AUX
