language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,1,0.8333333333333334,0.0,0.7822222222222223,0.68,0.47333333333333333,0.38666666666666666,0.21333333333333335,0.5,0.3333333333333333,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,2,0.8795986622073578,0.0,0.84,0.7666666666666667,0.5050167224080268,0.41777777777777775,0.24666666666666667,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,3,0.9114093959731544,0.0,0.8681349206349206,0.62,0.49395973154362416,0.4267513227513227,0.013333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,4,0.8813333333333333,0.0,0.8506322751322751,0.5866666666666667,0.49066666666666664,0.40896031746031747,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,5,0.824,0.0,0.7953571428571429,0.44666666666666666,0.5,0.4306455026455026,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,6,0.8,0.0,0.7665846560846561,0.42,0.49866666666666665,0.429037037037037,0.02,0.8,0.4444444444444444,0
tr,morph_disc_tr,aya-23-35b,morph-disc,False,5,7,0.8550335570469799,0.0,0.8041280494300629,0.4966442953020134,0.48456375838926175,0.4001491424310216,0.020134228187919462,0.8,0.4444444444444444,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,1,0.8066666666666666,0.7933333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,2,0.34,0.56,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,3,0.06,0.16666666666666666,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,4,0.02,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,5,0.02,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,6,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,True,5,7,0.006711409395973154,0.006711409395973154,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,1,0.62,0.6,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,2,0.28,0.28,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,3,0.08,0.05333333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,4,0.02,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,5,0.02,0.013333333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,6,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,1,7,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,aya-23-35b,morph-gen,False,5,1,0.6333333333333333,0.6066666666666667,0,0,0.0,0,0,0.0,0,0
