language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,1,0.8466666666666667,0.8466666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,2,0.5733333333333334,0.5933333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,3,0.37333333333333335,0.3933333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,4,0.16666666666666666,0.16666666666666666,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,5,0.10666666666666667,0.12,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,6,0.04,0.04,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,3,7,0.026845637583892617,0.026845637583892617,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,1,0.58,0.0,0.4533333333333333,0.2,0.4766666666666667,0.39999999999999997,0.24666666666666667,0.5,0.3333333333333333,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,2,0.6220735785953178,0.0,0.4955555555555555,0.24666666666666667,0.47491638795986624,0.39555555555555555,0.24,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,3,0.8281879194630872,0.0,0.553063492063492,0.19333333333333333,0.49261744966442955,0.4260396825396825,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,4,0.832,0.0,0.5429232804232804,0.16666666666666666,0.504,0.43228306878306877,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,5,0.8386666666666667,0.0,0.5582010582010581,0.19333333333333333,0.508,0.4417433862433862,0.06666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,6,0.8333333333333334,0.0,0.5505291005291005,0.18,0.4866666666666667,0.4112063492063492,0.02,0.8,0.4444444444444444,0
tr,morph_disc_en,gemini-1.5-flash,morph-disc,True,3,7,0.8295302013422818,0.0,0.5422872057100245,0.174496644295302,0.5140939597315436,0.4363348247576435,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,1,0.9133333333333333,0.9133333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,2,0.5666666666666667,0.6,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,3,0.38666666666666666,0.4,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,4,0.12,0.12,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,5,0.1,0.11333333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,6,0.02666666666666667,0.02666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,5,7,0.026845637583892617,0.026845637583892617,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,1,1,0.8666666666666667,0.8666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,1,2,0.5266666666666666,0.5533333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,1,3,0.36,0.38,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,1,4,0.12,0.12,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gemini-1.5-flash,morph-gen,False,1,5,0.07333333333333333,0.08,0,0,0.0,0,0,0.0,0,0
