language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,1,0.7933333333333333,0.0,0.7266666666666667,0.5933333333333334,0.47,0.3822222222222222,0.20666666666666667,0.5,0.3333333333333333,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,2,0.7759197324414716,0.0,0.7044444444444444,0.5666666666666667,0.5083612040133779,0.4311111111111111,0.28,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,3,0.8885906040268456,0.0,0.7118597883597884,0.4666666666666667,0.49261744966442955,0.4299232804232804,0.02666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,4,0.836,0.0,0.5561507936507937,0.18666666666666668,0.5266666666666666,0.45006084656084655,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,5,0.8466666666666667,0.0,0.5794312169312169,0.24,0.49466666666666664,0.41558994708994706,0.04,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,6,0.824,0.0,0.5153439153439153,0.12,0.4786666666666667,0.40565079365079365,0.04666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,5,7,0.825503355704698,0.0,0.5152870991797166,0.12751677852348994,0.512751677852349,0.42949025247682965,0.020134228187919462,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,1,0.67,0.0,0.5599999999999999,0.34,0.49666666666666665,0.41555555555555557,0.25333333333333335,0.5,0.3333333333333333,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,2,0.5150501672240803,0.0,0.35333333333333333,0.03333333333333333,0.5183946488294314,0.4311111111111111,0.26,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,3,0.8026845637583893,0.0,0.4545185185185185,0.02,0.4912751677852349,0.4298915343915344,0.013333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,4,0.8013333333333333,0.0,0.44814814814814813,0.006666666666666667,0.476,0.4029179894179894,0.02,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,5,0.8,0.0,0.4444444444444444,0,0.536,0.4541269841269841,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,6,0.8013333333333333,0.0,0.44814814814814813,0.006666666666666667,0.48,0.3965291005291005,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,1,7,0.8013422818791947,0.0,0.44817300521998504,0.006711409395973154,0.512751677852349,0.4396825396825397,0.06711409395973154,0.8,0.4444444444444444,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,1,0.8,0.8,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,2,0.44666666666666666,0.5866666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,3,0.24666666666666667,0.35333333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,4,0.02,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,5,0.03333333333333333,0.04,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,6,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,True,5,7,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,1,0.7,0.6933333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,2,0.56,0.58,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,3,0.26,0.2733333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,4,0.05333333333333334,0.06,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,5,0.013333333333333334,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,6,0.02666666666666667,0.02666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gemini-1.5-flash,morph-gen,False,3,7,0.0,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,3,1,0.81,0.0,0.7533333333333333,0.64,0.5433333333333333,0.4577777777777778,0.2866666666666667,0.5,0.3333333333333333,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,3,2,0.6822742474916388,0.0,0.58,0.38,0.5418060200668896,0.46444444444444444,0.30666666666666664,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,3,3,0.8429530201342282,0.0,0.5784603174603175,0.23333333333333334,0.49530201342281877,0.4244417989417989,0.013333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,3,4,0.8146666666666667,0.0,0.5023809523809524,0.1,0.49333333333333335,0.41208730158730156,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_tr,gemini-1.5-flash,morph-disc,False,3,5,0.828,0.0,0.5222222222222223,0.14,0.5186666666666667,0.44051058201058196,0.04666666666666667,0.8,0.4444444444444444,0
