task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-disc,True,3,1,0.96,0.08
morph-disc,True,3,2,0.88,0.56
morph-disc,True,3,3,0.68,0.88
morph-disc,True,3,4,0.6666666666666666,0.9583333333333334
morph-gen,False,5,1,0.96,0.96
morph-gen,False,5,2,0.88,0.88
morph-gen,False,5,3,0.76,0.8
morph-gen,False,5,4,0.9166666666666666,0.9166666666666666
morph-disc,True,5,1,0.88,0.36
morph-disc,True,5,2,0.64,0.8
morph-disc,True,5,3,0.92,1.0
morph-disc,True,5,4,0.7916666666666666,0.9583333333333334
morph-disc,False,1,1,0.6,0.6
morph-disc,False,1,2,0.28,0.28
morph-disc,False,1,3,0.88,0.96
morph-disc,False,1,4,0.75,0.875
morph-disc,False,3,1,1.0,0.96
morph-disc,False,3,2,0.92,0.92
morph-disc,False,3,3,0.96,1.0
morph-disc,False,3,4,1.0,1.0
morph-gen,True,1,1,0.96,0.96
morph-gen,True,1,2,0.8,0.88
morph-gen,True,1,3,0.52,0.64
morph-gen,True,1,4,0.625,0.625
morph-disc,False,5,1,0.96,0.92
morph-disc,False,5,2,0.96,0.96
morph-disc,False,5,3,0.96,1.0
morph-disc,False,5,4,0.9166666666666666,1.0
morph-gen,False,1,1,0.96,0.96
morph-gen,False,1,2,0.76,0.76
morph-gen,False,1,3,0.76,0.8
morph-gen,False,1,4,0.5833333333333334,0.5833333333333334
morph-gen,True,3,1,0.88,0.88
morph-gen,True,3,2,0.72,0.88
morph-gen,True,3,3,0.56,0.68
morph-gen,True,3,4,0.7083333333333334,0.7083333333333334
morph-gen,True,5,1,0.96,0.96
morph-gen,True,5,2,0.84,0.92
morph-gen,True,5,3,0.64,0.72
morph-gen,True,5,4,0.7916666666666666,0.7916666666666666
morph-gen,False,3,1,0.96,0.96
morph-gen,False,3,2,0.88,0.88
morph-gen,False,3,3,0.64,0.68
morph-gen,False,3,4,0.9583333333333334,0.9583333333333334
morph-disc,True,1,1,0.92,0.48
morph-disc,True,1,2,0.76,0.44
morph-disc,True,1,3,0.68,0.84
morph-disc,True,1,4,0.5833333333333334,0.75
