task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-gen,True,3,1,0.96,0.96
morph-gen,True,3,2,0.48,0.68
morph-gen,True,3,3,0.34,0.5
morph-gen,True,3,4,0.06,0.14
morph-gen,True,3,5,0.1,0.12
morph-gen,True,3,6,0.0,0.0
morph-gen,True,3,7,0.0,0.0
morph-gen,True,3,8,0.0,0.0
morph-gen,True,3,9,0.2,0.2
morph-disc,False,1,1,1.0,1.0
morph-disc,False,1,2,0.92,0.88
morph-disc,False,1,3,0.86,0.98
morph-disc,False,1,4,0.66,0.92
morph-disc,False,1,5,0.74,0.94
morph-disc,False,1,6,0.92,0.94
morph-disc,False,1,7,0.7,0.82
morph-disc,False,1,8,0.6486486486486487,0.8918918918918919
morph-disc,False,1,9,0.4,1.0
morph-gen,True,5,1,0.96,0.96
morph-gen,True,5,2,0.52,0.68
morph-gen,True,5,3,0.26,0.34
morph-gen,True,5,4,0.18,0.22
morph-gen,True,5,5,0.04,0.04
morph-gen,True,5,6,0.02,0.02
morph-gen,True,5,7,0.0,0.0
morph-gen,True,5,8,0.0,0.0
morph-gen,True,5,9,0.0,0.0
morph-gen,True,1,1,0.98,0.98
morph-gen,True,1,2,0.46,0.66
morph-gen,True,1,3,0.28,0.5
morph-gen,True,1,4,0.06,0.08
morph-gen,True,1,5,0.04,0.14
morph-gen,True,1,6,0.0,0.0
morph-gen,True,1,7,0.0,0.0
morph-gen,True,1,8,0.0,0.0
morph-gen,True,1,9,0.0,0.0
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,0.96,0.98
morph-disc,False,3,3,0.86,1.0
morph-disc,False,3,4,0.8,1.0
morph-disc,False,3,5,0.9,0.98
morph-disc,False,3,6,0.96,1.0
morph-disc,False,3,7,0.84,1.0
morph-disc,False,3,8,0.8648648648648649,1.0
morph-disc,False,3,9,1.0,1.0
morph-disc,True,5,1,1.0,1.0
morph-disc,True,5,2,0.78,0.94
morph-disc,True,5,3,0.66,1.0
morph-disc,True,5,4,0.72,1.0
morph-disc,True,5,5,0.72,0.96
morph-disc,True,5,6,0.66,1.0
morph-disc,True,5,7,0.78,1.0
morph-disc,True,5,8,0.8108108108108109,1.0
morph-disc,True,5,9,0.8,1.0
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,0.96,0.98
morph-disc,False,5,3,0.86,1.0
morph-disc,False,5,4,0.88,1.0
morph-disc,False,5,5,0.88,1.0
morph-disc,False,5,6,0.88,1.0
morph-disc,False,5,7,0.92,1.0
morph-disc,False,5,8,0.972972972972973,1.0
morph-disc,False,5,9,1.0,1.0
morph-disc,True,3,1,1.0,1.0
morph-disc,True,3,2,0.78,0.9
morph-disc,True,3,3,0.62,0.92
morph-disc,True,3,4,0.56,0.92
morph-disc,True,3,5,0.58,0.98
morph-disc,True,3,6,0.86,0.9
morph-disc,True,3,7,0.84,1.0
morph-disc,True,3,8,0.6756756756756757,1.0
morph-disc,True,3,9,1.0,0.6
morph-gen,False,1,1,0.96,0.96
morph-gen,False,1,2,0.64,0.72
morph-gen,False,1,3,0.44,0.52
morph-gen,False,1,4,0.12,0.18
morph-gen,False,1,5,0.22,0.26
morph-gen,False,1,6,0.02,0.02
morph-gen,False,1,7,0.02,0.04
morph-gen,False,1,8,0.0,0.0
morph-gen,False,1,9,0.0,0.0
morph-gen,False,3,1,0.94,0.94
morph-gen,False,3,2,0.62,0.62
morph-gen,False,3,3,0.46,0.54
morph-gen,False,3,4,0.12,0.14
morph-gen,False,3,5,0.22,0.24
morph-gen,False,3,6,0.06,0.08
morph-gen,False,3,7,0.02,0.04
morph-gen,False,3,8,0.0,0.0
morph-gen,False,3,9,0.2,0.2
morph-disc,True,1,1,1.0,1.0
morph-disc,True,1,2,0.62,0.48
morph-disc,True,1,3,0.7,0.86
morph-disc,True,1,4,0.46,0.6
morph-disc,True,1,5,0.48,0.66
morph-disc,True,1,6,0.62,0.7
morph-disc,True,1,7,0.58,0.82
morph-disc,True,1,8,0.40540540540540543,0.8648648648648649
morph-disc,True,1,9,0.6,0.8
morph-gen,False,5,1,0.92,0.92
morph-gen,False,5,2,0.6,0.72
morph-gen,False,5,3,0.42,0.44
morph-gen,False,5,4,0.12,0.14
morph-gen,False,5,5,0.14,0.14
morph-gen,False,5,6,0.08,0.08
morph-gen,False,5,7,0.08,0.1
morph-gen,False,5,8,0.13513513513513514,0.13513513513513514
morph-gen,False,5,9,0.0,0.0
