task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-disc,False,3,1,0.94,0.84
morph-disc,False,3,2,0.6,0.6
morph-disc,False,3,3,0.68,0.82
morph-disc,False,3,4,0.7,0.94
morph-disc,False,3,5,0.88,0.98
morph-disc,False,3,6,0.82,0.98
morph-disc,False,3,7,0.84,0.94
morph-disc,False,3,8,0.8918918918918919,0.9459459459459459
morph-disc,False,3,9,1.0,1.0
morph-disc,True,3,1,1.0,0.02
morph-disc,True,3,2,0.62,0.34
morph-disc,True,3,3,0.62,0.74
morph-disc,True,3,4,0.42,0.9
morph-disc,True,3,5,0.64,0.92
morph-disc,True,3,6,0.66,0.7
morph-disc,True,3,7,0.7,0.82
morph-disc,True,3,8,0.6486486486486487,0.8378378378378378
morph-disc,True,3,9,1.0,0.8
morph-disc,True,1,1,0.72,0.44
morph-disc,True,1,2,0.36,0.2
morph-disc,True,1,3,0.36,0.28
morph-disc,True,1,4,0.42,0.56
morph-disc,True,1,5,0.44,0.64
morph-disc,True,1,6,0.68,0.74
morph-disc,True,1,7,0.7,0.74
morph-disc,True,1,8,0.2972972972972973,0.918918918918919
morph-disc,True,1,9,0.6,0.4
morph-gen,True,5,1,0.86,0.86
morph-gen,True,5,2,0.36,0.58
morph-gen,True,5,3,0.26,0.34
morph-gen,True,5,4,0.12,0.18
morph-gen,True,5,5,0.14,0.16
morph-gen,True,5,6,0.04,0.04
morph-gen,True,5,7,0.0,0.0
morph-gen,True,5,8,0.0,0.0
morph-gen,True,5,9,0.2,0.2
morph-disc,True,5,1,0.92,0.18
morph-disc,True,5,2,0.66,0.78
morph-disc,True,5,3,0.68,0.92
morph-disc,True,5,4,0.66,0.92
morph-disc,True,5,5,0.66,0.96
morph-disc,True,5,6,0.84,0.98
morph-disc,True,5,7,0.74,0.98
morph-disc,True,5,8,0.7297297297297297,0.6756756756756757
morph-disc,True,5,9,1.0,0.6
morph-gen,True,1,1,0.92,0.92
morph-gen,True,1,2,0.5,0.68
morph-gen,True,1,3,0.34,0.4
morph-gen,True,1,4,0.08,0.12
morph-gen,True,1,5,0.0,0.02
morph-gen,True,1,6,0.0,0.02
morph-gen,True,1,7,0.0,0.04
morph-gen,True,1,8,0.0,0.0
morph-gen,True,1,9,0.0,0.0
morph-gen,False,5,1,0.9,0.9
morph-gen,False,5,2,0.58,0.6
morph-gen,False,5,3,0.56,0.58
morph-gen,False,5,4,0.2,0.22
morph-gen,False,5,5,0.22,0.22
morph-gen,False,5,6,0.06,0.06
morph-gen,False,5,7,0.02,0.02
morph-gen,False,5,8,0.02702702702702703,0.02702702702702703
morph-gen,False,5,9,0.0,0.0
morph-disc,False,1,1,0.36,0.36
morph-disc,False,1,2,0.04,0.04
morph-disc,False,1,3,0.32,0.36
morph-disc,False,1,4,0.54,0.64
morph-disc,False,1,5,0.44,0.66
morph-disc,False,1,6,0.7,0.68
morph-disc,False,1,7,0.58,0.6
morph-disc,False,1,8,0.43243243243243246,0.4594594594594595
morph-disc,False,1,9,0.2,0.6
morph-disc,False,5,1,0.96,0.96
morph-disc,False,5,2,0.86,0.74
morph-disc,False,5,3,0.82,0.86
morph-disc,False,5,4,0.84,0.98
morph-disc,False,5,5,0.78,1.0
morph-disc,False,5,6,0.92,0.98
morph-disc,False,5,7,0.96,0.98
morph-disc,False,5,8,0.918918918918919,1.0
morph-disc,False,5,9,0.6,1.0
morph-gen,False,3,1,0.92,0.92
morph-gen,False,3,2,0.48,0.52
morph-gen,False,3,3,0.34,0.42
morph-gen,False,3,4,0.18,0.18
morph-gen,False,3,5,0.12,0.12
morph-gen,False,3,6,0.06,0.08
morph-gen,False,3,7,0.0,0.0
morph-gen,False,3,8,0.0,0.0
morph-gen,False,3,9,0.0,0.0
morph-gen,True,3,1,0.72,0.72
morph-gen,True,3,2,0.48,0.66
morph-gen,True,3,3,0.2,0.22
morph-gen,True,3,4,0.08,0.16
morph-gen,True,3,5,0.02,0.1
morph-gen,True,3,6,0.0,0.02
morph-gen,True,3,7,0.0,0.0
morph-gen,True,3,8,0.0,0.0
morph-gen,True,3,9,0.2,0.2
morph-gen,False,1,1,0.9,0.9
morph-gen,False,1,2,0.62,0.62
morph-gen,False,1,3,0.46,0.54
morph-gen,False,1,4,0.2,0.2
morph-gen,False,1,5,0.1,0.12
morph-gen,False,1,6,0.02,0.02
morph-gen,False,1,7,0.0,0.0
morph-gen,False,1,8,0.0,0.0
morph-gen,False,1,9,0.0,0.0
