language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,1,0.8875,0.8875,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,2,0.6625,0.7625,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,3,0.2625,0.425,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,4,0.1125,0.1875,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,5,0.125,0.15,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,6,0.1625,0.225,0,0
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,1,0.875,0.0,0.8333333333333334,0.75
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,2,0.93125,0.0,0.9083333333333333,0.8625
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,3,0.89,0.0,0.8519345238095238,0.5625
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,4,0.8919597989949749,0.0,0.8370535714285714,0.575
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,5,0.8925,0.0,0.8436259920634921,0.575
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,6,0.825,0.0,0.7833630952380952,0.4125
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,1,0.725,0.0,0.65,0.5
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,2,0.79375,0.0,0.7333333333333333,0.6125
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,3,0.8425,0.0,0.7697222222222222,0.45
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,4,0.7964824120603015,0.0,0.7286210317460318,0.3625
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,5,0.8475,0.0,0.7823759920634921,0.45
fi,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,6,0.7975,0.0,0.7078521825396825,0.35
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,1,0.8625,0.8625,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,2,0.725,0.7875,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,3,0.4375,0.45,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,4,0.2625,0.3125,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,5,0.25,0.25,0,0
fi,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,6,0.2125,0.225,0,0
