language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,1,0.7033333333333334,0.0,0.6311111111111111,0.4866666666666667
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,2,0.8557046979865772,0.0,0.8165548098434005,0.738255033557047
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,3,0.8771466314398944,0.0,0.8351455026455026,0.5266666666666666
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,4,0.8787878787878788,0.0,0.8442328042328042,0.5466666666666666
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,5,0.8618857901726428,0.0,0.8011005291005291,0.48
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,6,0.8518518518518519,0.0,0.8100185185185185,0.4666666666666667
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,True,5,7,0.8666666666666667,0.0,0.8309124320869287,0.5167785234899329
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,1,0.9466666666666667,0.0,0.9311111111111111,0.9
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,2,0.9228187919463087,0.0,0.8993288590604027,0.8523489932885906
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,3,0.9709379128137384,0.0,0.9453518518518519,0.86
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,4,0.9604743083003953,0.0,0.9436931216931217,0.8133333333333334
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,5,0.9535809018567639,0.0,0.9427142857142857,0.8
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,6,0.9352708058124174,0.0,0.9196878306878307,0.7466666666666667
tr,morph_disc_alt_en,gpt-4-0125-preview,morph-disc,False,5,7,0.9306666666666666,0.0,0.9196335357409183,0.7181208053691275
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,1,0.98,0.98,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,2,0.7315436241610739,0.8859060402684564,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,3,0.6133333333333333,0.7466666666666667,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,4,0.3333333333333333,0.5333333333333333,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,5,0.26,0.42,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,6,0.16666666666666666,0.20666666666666667,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,True,5,7,0.12080536912751678,0.16778523489932887,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,1,0.98,0.98,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,2,0.8456375838926175,0.87248322147651,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,3,0.72,0.7666666666666667,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,4,0.46,0.52,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,5,0.48,0.52,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,6,0.25333333333333335,0.2733333333333333,0,0
tr,morph_gen_alt_en,gpt-4-0125-preview,morph-gen,False,5,7,0.16778523489932887,0.174496644295302,0,0
