language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,1,0.9433333333333334,0.0,0.9266666666666666,0.8933333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,2,0.9169435215946844,0.0,0.8911111111111111,0.8333333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,3,0.9557640750670241,0.0,0.9316402116402116,0.8066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,4,0.9466666666666667,0.0,0.9311507936507937,0.7733333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,5,0.9346666666666666,0.0,0.9248015873015872,0.74
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,6,0.8946666666666667,0.0,0.8672010582010582,0.6
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,7,0.8926174496644296,0.0,0.8724672419303292,0.5771812080536913
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,1,0.6833333333333333,0.0,0.5955555555555555,0.42
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,2,0.8006644518272426,0.0,0.7448888888888889,0.6266666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,3,0.8699731903485255,0.0,0.8136851851851852,0.5133333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,4,0.8866666666666667,0.0,0.8266560846560846,0.5466666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,5,0.8226666666666667,0.0,0.7615820105820106,0.35333333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,6,0.808,0.0,0.7488597883597884,0.38666666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,3,7,0.825503355704698,0.0,0.785780867156706,0.436241610738255
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,1,0.9366666666666666,0.0,0.9177777777777778,0.88
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,2,0.9003322259136213,0.0,0.8688888888888889,0.8066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,3,0.9571045576407506,0.0,0.902010582010582,0.7866666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,4,0.956,0.0,0.93260582010582,0.8
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,5,0.9493333333333334,0.0,0.9301269841269841,0.8
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,6,0.892,0.0,0.8477195767195767,0.5666666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,7,0.8845637583892617,0.0,0.8578539469479066,0.5838926174496645
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,1,0.63,0.0,0.5155555555555555,0.2866666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,2,0.7508305647840532,0.0,0.6737777777777778,0.5133333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,3,0.8806970509383378,0.0,0.7016560846560846,0.42
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,4,0.888,0.0,0.7496031746031746,0.4866666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,5,0.8733333333333333,0.0,0.7977539682539683,0.5
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,6,0.8293333333333334,0.0,0.6904814814814815,0.36
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,1,7,0.8281879194630872,0.0,0.7650767018216682,0.436241610738255
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,1,0.6933333333333334,0.0,0.611111111111111,0.44666666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,2,0.813953488372093,0.0,0.7811111111111111,0.7066666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,3,0.871313672922252,0.0,0.8319391534391534,0.5133333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,4,0.8373333333333334,0.0,0.8008703703703703,0.41333333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,5,0.8293333333333334,0.0,0.7845026455026455,0.4266666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,6,0.7933333333333333,0.0,0.7460476190476191,0.3333333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,7,0.7865771812080536,0.0,0.7524342175348887,0.3825503355704698
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,1,0.9466666666666667,0.0,0.9311111111111111,0.9
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,2,0.9102990033222591,0.0,0.8866666666666667,0.8333333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,3,0.9557640750670241,0.0,0.9181481481481482,0.7933333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,4,0.9413333333333334,0.0,0.9163359788359788,0.7466666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,5,0.936,0.0,0.9206349206349206,0.7333333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,6,0.9133333333333333,0.0,0.8871058201058201,0.6533333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,7,0.8644295302013423,0.0,0.8473047832108235,0.5436241610738255
