language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,1,0.9733333333333334,0.9666666666666667,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,2,0.8322147651006712,0.8657718120805369,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,3,0.7,0.76,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,4,0.43333333333333335,0.52,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,5,0.36666666666666664,0.42,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,6,0.2,0.24,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,7,0.19463087248322147,0.2214765100671141,0,0
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,1,0.66,0.0,0.5711111111111111,0.3933333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,2,0.8489932885906041,0.0,0.8076062639821029,0.7248322147651006
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,3,0.8678996036988111,0.0,0.8207883597883597,0.48
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,4,0.8669301712779973,0.0,0.8300793650793651,0.52
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,5,0.8738379814077025,0.0,0.8234708994708995,0.54
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,6,0.8624338624338624,0.0,0.8330820105820106,0.52
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,True,5,7,0.88,0.0,0.8488521359326728,0.5234899328859061
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,1,0.95,0.0,0.9355555555555556,0.9066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,2,0.9261744966442953,0.0,0.9038031319910514,0.8590604026845637
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,3,0.964332892998679,0.0,0.927063492063492,0.8333333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,4,0.9578392621870883,0.0,0.9392460317460317,0.8133333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,5,0.9428950863213812,0.0,0.9255899470899471,0.7666666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,6,0.9193121693121693,0.0,0.890010582010582,0.6666666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,7,0.9333333333333333,0.0,0.9186800894854587,0.7315436241610739
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,1,0.9733333333333334,0.9733333333333334,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,2,0.697986577181208,0.8389261744966443,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,3,0.5733333333333334,0.7133333333333334,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,4,0.3466666666666667,0.54,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,5,0.2,0.32666666666666666,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,6,0.13333333333333333,0.19333333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,True,5,7,0.11409395973154363,0.1476510067114094,0,0
