language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,1,0.9291338582677166,0.9291338582677166,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,2,0.7891156462585034,0.8231292517006803,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,3,0.6054054054054054,0.6864864864864865,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,4,0.4470588235294118,0.4647058823529412,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,5,0.3716216216216216,0.38513513513513514,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,6,0.3230769230769231,0.3230769230769231,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,7,0.38666666666666666,0.38666666666666666,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,1,0.952755905511811,0.952755905511811,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,2,0.7959183673469388,0.8095238095238095,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,3,0.5891891891891892,0.6378378378378379,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,4,0.47058823529411764,0.5,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,5,0.4189189189189189,0.42567567567567566,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,6,0.35384615384615387,0.36153846153846153,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,7,0.29333333333333333,0.30666666666666664,0,0
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,1,0.8908296943231441,0.0,0.8661417322834646,0.8188976377952756
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,2,0.9387755102040817,0.0,0.9183673469387755,0.8775510204081632
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,3,0.9715224534501643,0.0,0.939993564993565,0.8648648648648649
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,4,0.972877358490566,0.0,0.9467203548085901,0.8764705882352941
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,5,0.9756756756756757,0.0,0.9624624624624625,0.8783783783783784
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,6,0.9676923076923077,0.0,0.9546703296703296,0.8461538461538461
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,7,0.9626666666666667,0.0,0.9486772486772487,0.84
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,1,0.9291338582677166,0.9291338582677166,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,2,0.7619047619047619,0.782312925170068,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,3,0.5675675675675675,0.6216216216216216,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,4,0.4117647058823529,0.45294117647058824,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,5,0.2905405405405405,0.31756756756756754,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,6,0.23076923076923078,0.23846153846153847,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,7,0.16,0.17333333333333334,0,0
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,1,0.9213973799126638,0.0,0.910761154855643,0.8740157480314961
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,2,0.9727891156462585,0.0,0.963718820861678,0.9455782312925171
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,3,0.9759036144578314,0.0,0.9523273273273273,0.8918918918918919
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,4,0.9752358490566038,0.0,0.9526143790849673,0.888235294117647
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,5,0.9783783783783784,0.0,0.9678249678249679,0.8918918918918919
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,6,0.9646153846153847,0.0,0.9441391941391941,0.8384615384615385
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,7,0.9626666666666667,0.0,0.9529100529100529,0.84
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,1,0.868995633187773,0.0,0.8267716535433071,0.7637795275590551
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,2,0.8775510204081632,0.0,0.8367346938775511,0.7551020408163265
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,3,0.963855421686747,0.0,0.917016302016302,0.827027027027027
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,4,0.972877358490566,0.0,0.9428921568627451,0.8764705882352941
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,5,0.977027027027027,0.0,0.9533462033462033,0.8851351351351351
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,6,0.9753846153846154,0.0,0.9594017094017094,0.8923076923076924
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,7,0.952,0.0,0.9367724867724868,0.8
