language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,1,0.9066666666666666,0.9066666666666666,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,2,0.76,0.8133333333333334,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,3,0.5466666666666666,0.6533333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,4,0.4266666666666667,0.4533333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,5,0.41333333333333333,0.4266666666666667,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,6,0.28,0.28,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,3,7,0.38666666666666666,0.38666666666666666,0,0
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,1,0.8592592592592593,0.0,0.8133333333333334,0.7466666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,2,0.8866666666666667,0.0,0.8488888888888889,0.7733333333333333
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,3,0.9649595687331537,0.0,0.9164021164021164,0.8266666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,4,0.9812834224598931,0.0,0.9608465608465608,0.9066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,5,0.9706666666666667,0.0,0.9481481481481482,0.8533333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,6,0.9706666666666667,0.0,0.9582010582010582,0.88
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,1,7,0.952,0.0,0.9367724867724868,0.8
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,1,0.9051094890510949,0.0,0.8888888888888888,0.8533333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,2,0.94,0.0,0.92,0.88
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,3,0.9597855227882037,0.0,0.9123015873015873,0.8133333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,4,0.9653333333333334,0.0,0.9321428571428572,0.8533333333333334
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,5,0.9733333333333334,0.0,0.9597883597883597,0.8666666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,6,0.9706666666666667,0.0,0.9574074074074074,0.8666666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,3,7,0.9626666666666667,0.0,0.9486772486772487,0.84
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,1,0.917910447761194,0.0,0.9066666666666666,0.8666666666666667
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,2,0.98,0.0,0.9733333333333334,0.96
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,3,0.9811320754716981,0.0,0.9608465608465608,0.9066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,4,0.9812834224598931,0.0,0.9481481481481482,0.9066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,5,0.9813333333333333,0.0,0.9693121693121693,0.9066666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,6,0.9546666666666667,0.0,0.9298941798941799,0.7866666666666666
tr,morph_disc_en,gpt-4-0125-preview,morph-disc,False,5,7,0.9626666666666667,0.0,0.9529100529100529,0.84
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,1,0.9466666666666667,0.9466666666666667,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,2,0.7866666666666666,0.8133333333333334,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,3,0.5466666666666666,0.6266666666666667,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,4,0.4,0.4533333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,5,0.29333333333333333,0.30666666666666664,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,6,0.25333333333333335,0.26666666666666666,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,1,7,0.16,0.17333333333333334,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,1,0.9333333333333333,0.9333333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,2,0.8,0.84,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,3,0.5866666666666667,0.6533333333333333,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,4,0.4533333333333333,0.49333333333333335,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,5,0.38666666666666666,0.38666666666666666,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,6,0.38666666666666666,0.4,0,0
tr,morph_gen_en,gpt-4-0125-preview,morph-gen,False,5,7,0.29333333333333333,0.30666666666666664,0,0
