task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-gen,False,1,1,1.0,1.0
morph-gen,False,1,2,0.9642857142857143,0.9642857142857143
morph-gen,False,1,3,1.0,1.0
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,0.9642857142857143,1.0
morph-disc,False,3,3,1.0,1.0
morph-gen,False,3,1,0.9852941176470589,0.9852941176470589
morph-gen,False,3,2,0.8571428571428571,0.8571428571428571
morph-gen,False,3,3,1.0,1.0
morph-disc,False,1,1,1.0,1.0
morph-disc,False,1,2,0.9642857142857143,1.0
morph-disc,False,1,3,1.0,1.0
morph-gen,False,5,1,0.9852941176470589,0.9852941176470589
morph-gen,False,5,2,0.9285714285714286,0.9285714285714286
morph-gen,False,5,3,1.0,1.0
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,1.0,1.0
morph-disc,False,5,3,1.0,1.0
