task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-gen,True,1,1,0.92,0.92
morph-gen,True,1,2,0.84,0.92
morph-gen,True,1,3,0.68,0.8
morph-gen,True,1,4,0.8333333333333334,0.8333333333333334
morph-disc,True,3,1,1.0,1.0
morph-disc,True,3,2,0.92,1.0
morph-disc,True,3,3,0.76,1.0
morph-disc,True,3,4,1.0,1.0
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,1.0,1.0
morph-disc,False,5,3,1.0,1.0
morph-disc,False,5,4,1.0,1.0
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,1.0,1.0
morph-disc,False,3,3,1.0,1.0
morph-disc,False,3,4,1.0,1.0
morph-gen,True,5,1,0.96,0.96
morph-gen,True,5,2,1.0,1.0
morph-gen,True,5,3,0.76,0.84
morph-gen,True,5,4,0.7916666666666666,0.7916666666666666
morph-disc,True,1,1,1.0,1.0
morph-disc,True,1,2,0.84,1.0
morph-disc,True,1,3,0.92,1.0
morph-disc,True,1,4,0.9583333333333334,1.0
morph-disc,True,5,1,1.0,1.0
morph-disc,True,5,2,0.84,1.0
morph-disc,True,5,3,0.96,1.0
morph-disc,True,5,4,1.0,1.0
morph-gen,True,3,1,0.96,0.96
morph-gen,True,3,2,0.92,0.96
morph-gen,True,3,3,0.84,0.88
morph-gen,True,3,4,0.75,0.75
morph-gen,False,5,1,1.0,1.0
morph-gen,False,5,2,1.0,1.0
morph-gen,False,5,3,0.92,0.92
morph-gen,False,5,4,1.0,1.0
morph-disc,False,1,1,1.0,1.0
morph-disc,False,1,2,0.96,0.96
morph-disc,False,1,3,1.0,1.0
morph-disc,False,1,4,1.0,1.0
morph-gen,False,1,1,1.0,1.0
morph-gen,False,1,2,0.96,0.96
morph-gen,False,1,3,0.88,0.88
morph-gen,False,1,4,1.0,1.0
morph-gen,False,3,1,1.0,1.0
morph-gen,False,3,2,0.96,0.96
morph-gen,False,3,3,0.84,0.84
morph-gen,False,3,4,1.0,1.0
