language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
fi,morph_disc_en,gpt-4,morph-disc,True,1,1,0.07936507936507936,0.0,0.07936507936507936,0.07936507936507936,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.0,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,2,0.4961832061068702,0.0,0.3288288288288288,0.10810810810810811,0.5725190839694656,0.5315315315315315,0.43243243243243246,0.4351145038167939,0.25675675675675674,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,3,0.7790697674418605,0.0,0.44666666666666666,0.05,0.47093023255813954,0.39502976190476186,0.05,0.7674418604651163,0.41888888888888887,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,4,0.8080808080808081,0.0,0.4714285714285714,0.05,0.5555555555555556,0.5037301587301587,0.1,0.797979797979798,0.44365079365079363,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,5,0.8941176470588236,0.0,0.7058823529411764,0.47058823529411764,0.36470588235294116,0.3236694677871148,0,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,3,1,0.20634920634920634,0.0,0.20634920634920634,0.20634920634920634,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0
fi,morph_disc_en,gpt-4,morph-disc,True,3,2,0.5648854961832062,0.0,0.4144144144144144,0.24324324324324326,0.4580152671755725,0.38288288288288286,0.25675675675675674,0.4351145038167939,0.25675675675675674,0
fi,morph_disc_en,gpt-4,morph-disc,True,3,3,0.8255813953488372,0.0,0.5657142857142857,0.25,0.502906976744186,0.4264236111111111,0.0375,0.7674418604651163,0.41888888888888887,0
fi,morph_disc_en,gpt-4,morph-disc,True,3,4,0.9191919191919192,0.0,0.866170634920635,0.625,0.4696969696969697,0.4075,0.025,0.797979797979798,0.44365079365079363,0
fi,morph_disc_en,gpt-4,morph-disc,True,3,5,0.9529411764705882,0.0,0.8879551820728291,0.7647058823529411,0.4470588235294118,0.38788515406162466,0,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,1,1,0.7936507936507936,0.0,0.7936507936507936,0.7936507936507936,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0
fi,morph_disc_en,gpt-4,morph-disc,False,1,2,0.7480916030534351,0.0,0.6486486486486487,0.5540540540540541,0.5343511450381679,0.45945945945945943,0.32432432432432434,0.4351145038167939,0.25675675675675674,0
fi,morph_disc_en,gpt-4,morph-disc,False,1,3,0.8895348837209303,0.0,0.7343253968253968,0.525,0.4883720930232558,0.4153571428571428,0.0625,0.7674418604651163,0.41888888888888887,0
fi,morph_disc_en,gpt-4,morph-disc,False,1,4,0.8888888888888888,0.0,0.7379464285714286,0.475,0.46464646464646464,0.39628968253968255,0.025,0.797979797979798,0.44365079365079363,0
fi,morph_disc_en,gpt-4,morph-disc,False,1,5,0.9647058823529412,0.0,0.9019607843137255,0.8235294117647058,0.47058823529411764,0.371218487394958,0.058823529411764705,0.8,0.4444444444444444,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,1,0.9365079365079365,0.9365079365079365,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,2,0.4246575342465753,0.547945205479452,0,0,0.0,0,0,0.0,0,0
