language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
fi,morph_disc_en,gpt-4,morph-disc,True,1,1,0.5,0.0,0.3416666666666667,0.025,0.5,0.42083333333333334,0.2625,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,2,0.525,0.0,0.36666666666666664,0.05,0.51875,0.43333333333333335,0.2625,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,3,0.8125,0.0,0.47916666666666663,0.0625,0.4725,0.3903918650793651,0,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,4,0.8040201005025126,0.0,0.45777777777777773,0.025,0.45979899497487436,0.3809474206349206,0.0125,0.7989949748743719,0.4438888888888889,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,5,0.7975,0.0,0.44357638888888884,0,0.52,0.43620535714285713,0.025,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,1,6,0.8,0.0,0.4444444444444444,0,0.5225,0.4444642857142857,0.0375,0.8,0.4444444444444444,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,1,0.8375,0.8375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,2,0.7375,0.7375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,3,0.4,0.475,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,4,0.225,0.2375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,5,0.3,0.3125,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,5,6,0.15,0.175,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,1,0.8625,0.8625,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,2,0.5875,0.7375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,3,0.2125,0.425,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,4,0.0625,0.125,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,5,0.0875,0.1125,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,1,6,0.075,0.0875,0,0,0.0,0,0,0.0,0,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,1,0.8625,0.0,0.8166666666666667,0.725,0.5375,0.45416666666666666,0.2875,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,2,0.90625,0.0,0.8791666666666667,0.825,0.475,0.3875,0.2125,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,3,0.92,0.0,0.8435019841269841,0.6375,0.5125,0.44359126984126984,0.025,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,4,0.9195979899497487,0.0,0.830109126984127,0.6125,0.4824120603015075,0.4071081349206349,0.0125,0.7989949748743719,0.4438888888888889,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,5,0.8925,0.0,0.7844742063492063,0.5375,0.545,0.47441964285714283,0.0125,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,3,6,0.9125,0.0,0.8312251984126984,0.5875,0.5,0.4304712301587301,0.0625,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,1,0.69375,0.0,0.6125,0.45,0.5125,0.4125,0.2125,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,2,0.8375,0.0,0.7875,0.6875,0.41875,0.32916666666666666,0.15,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,3,0.8975,0.0,0.8377380952380952,0.6125,0.485,0.41055059523809523,0.025,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,4,0.8542713567839196,0.0,0.7665625,0.4875,0.4396984924623116,0.37714781746031745,0.0125,0.7989949748743719,0.4438888888888889,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,5,0.86,0.0,0.7650744047619047,0.4,0.495,0.4347668650793651,0.0125,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,True,5,6,0.8175,0.0,0.7162797619047618,0.4,0.4875,0.41720238095238094,0.025,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,1,0.88125,0.0,0.8416666666666667,0.7625,0.5375,0.4458333333333333,0.2625,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,2,0.91875,0.0,0.8916666666666667,0.8375,0.50625,0.42916666666666664,0.275,0.5,0.3333333333333333,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,3,0.8925,0.0,0.8422619047619048,0.5625,0.4675,0.396125992063492,0.025,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,4,0.9246231155778895,0.0,0.8800248015873016,0.6875,0.4623115577889447,0.39731150793650793,0.0125,0.7989949748743719,0.4438888888888889,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,5,0.8925,0.0,0.830297619047619,0.575,0.48,0.40942460317460316,0,0.8,0.4444444444444444,0
fi,morph_disc_en,gpt-4,morph-disc,False,5,6,0.8825,0.0,0.8270734126984127,0.55,0.475,0.4017212301587301,0.075,0.8,0.4444444444444444,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,1,0.9,0.9,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,2,0.625,0.7125,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,3,0.2,0.3875,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,4,0.1375,0.2375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,5,0.1125,0.15,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,True,3,6,0.125,0.2,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,3,1,0.8125,0.8125,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,3,2,0.7375,0.75,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,3,3,0.325,0.375,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,3,4,0.2,0.2,0,0,0.0,0,0,0.0,0,0
fi,morph_gen_en,gpt-4,morph-gen,False,3,5,0.2625,0.2625,0,0,0.0,0,0,0.0,0,0
