language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_gen_en,gpt-4,morph-gen,True,5,1,0.9666666666666667,0.9666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,2,0.72,0.8533333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,3,0.541095890410959,0.6986301369863014,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,4,0.35333333333333333,0.5066666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,5,0.23943661971830985,0.4014084507042254,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,6,0.11643835616438356,0.2054794520547945,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,7,0.10067114093959731,0.1610738255033557,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,1,0.96,0.96,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,2,0.8533333333333334,0.8866666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,3,0.6466666666666666,0.68,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,4,0.4295774647887324,0.5140845070422535,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,5,0.4,0.49333333333333335,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,6,0.28,0.29333333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,7,0.20567375886524822,0.2198581560283688,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,1,0.9,0.0,0.8666666666666667,0.8,0.4866666666666667,0.4066666666666667,0.24666666666666667,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,2,0.7692307692307693,0.0,0.6911111111111111,0.54,0.47157190635451507,0.39555555555555555,0.24,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,3,0.9315436241610738,0.0,0.8235132275132275,0.66,0.4697986577181208,0.393515873015873,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,4,0.9533333333333334,0.0,0.8851851851851852,0.7666666666666667,0.47333333333333333,0.4030079365079365,0.04666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,5,0.9626666666666667,0.0,0.919973544973545,0.82,0.472,0.3957777777777778,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,6,0.928,0.0,0.8860132275132275,0.6866666666666666,0.5066666666666667,0.4272010582010582,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,7,0.9288590604026845,0.0,0.9018269947800149,0.7046979865771812,0.487248322147651,0.4180169383189517,0.013422818791946308,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,1,0.9666666666666667,0.9666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,2,0.6533333333333333,0.8,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,3,0.41333333333333333,0.56,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,4,0.3,0.5133333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,5,0.176056338028169,0.2676056338028169,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,6,0.006666666666666667,0.03333333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,1,7,0.02127659574468085,0.05673758865248227,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,1,0.9466666666666667,0.9466666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,2,0.6866666666666666,0.8133333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,3,0.4315068493150685,0.6164383561643836,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,4,0.3356164383561644,0.4931506849315068,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,5,0.176056338028169,0.36619718309859156,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,6,0.11594202898550725,0.15942028985507245,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,3,7,0.11724137931034483,0.1310344827586207,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,1,0.6866666666666666,0.0,0.5911111111111111,0.4,0.4766666666666667,0.3977777777777778,0.24,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,2,0.7190635451505016,0.0,0.6288888888888888,0.4533333333333333,0.5217391304347826,0.43555555555555553,0.26,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,3,0.9234899328859061,0.0,0.8458201058201058,0.64,0.5006711409395973,0.4127645502645502,0.04666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,4,0.932,0.0,0.8544312169312169,0.7,0.5146666666666667,0.43657936507936507,0.06666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,5,0.9093333333333333,0.0,0.845537037037037,0.6066666666666667,0.456,0.3958703703703704,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,6,0.872,0.0,0.820015873015873,0.54,0.49733333333333335,0.41777513227513224,0.02,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,7,0.8751677852348994,0.0,0.8448412698412698,0.5503355704697986,0.5033557046979866,0.4330696708213487,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,1,0.9466666666666667,0.9466666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,2,0.8133333333333334,0.8533333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,3,0.6333333333333333,0.6933333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,4,0.4794520547945205,0.5616438356164384,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,5,0.30666666666666664,0.37333333333333335,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,6,0.25333333333333335,0.28,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,7,0.19310344827586207,0.20689655172413793,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,1,0.6333333333333333,0.0,0.5266666666666666,0.31333333333333335,0.5,0.41555555555555557,0.24666666666666667,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,2,0.8695652173913043,0.0,0.8288888888888889,0.7466666666666667,0.4682274247491639,0.39555555555555555,0.24666666666666667,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,3,0.8899328859060402,0.0,0.8550608465608466,0.56,0.487248322147651,0.4002063492063492,0.013333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,4,0.8893333333333333,0.0,0.8447089947089947,0.56,0.4866666666666667,0.410505291005291,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,5,0.8466666666666667,0.0,0.8047671957671958,0.46,0.48,0.40555291005291005,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,6,0.8493333333333334,0.0,0.8248465608465608,0.5,0.5026666666666667,0.41566666666666663,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,7,0.836241610738255,0.0,0.8127516778523489,0.42953020134228187,0.48590604026845635,0.41336422712261633,0.020134228187919462,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,1,0.52,0.0,0.3622222222222222,0.04666666666666667,0.47,0.3888888888888889,0.22666666666666666,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,2,0.5719063545150501,0.0,0.4288888888888889,0.14666666666666667,0.5451505016722408,0.47555555555555556,0.3333333333333333,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,3,0.8604026845637583,0.0,0.6201269841269841,0.30666666666666664,0.48053691275167787,0.4132195767195767,0.05333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,4,0.868,0.0,0.640079365079365,0.3466666666666667,0.4706666666666667,0.39465079365079364,0.02,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,5,0.912,0.0,0.7849867724867725,0.58,0.49466666666666664,0.4227433862433862,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,6,0.8706666666666667,0.0,0.7190502645502646,0.41333333333333333,0.492,0.42248677248677247,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,7,0.8738255033557047,0.0,0.7666693299243634,0.48322147651006714,0.5046979865771812,0.42779375732395863,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,1,0.92,0.0,0.8955555555555555,0.8466666666666667,0.46,0.3844444444444444,0.23333333333333334,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,2,0.862876254180602,0.0,0.8177777777777778,0.7266666666666667,0.5150501672240803,0.43333333333333335,0.2733333333333333,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,3,0.9664429530201343,0.0,0.9247354497354497,0.84,0.48590604026845635,0.4126005291005291,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,4,0.9666666666666667,0.0,0.9505291005291006,0.8466666666666667,0.484,0.40268783068783065,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,5,0.9346666666666666,0.0,0.920505291005291,0.74,0.49466666666666664,0.41424603174603175,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,6,0.9053333333333333,0.0,0.8787724867724868,0.6333333333333333,0.476,0.3962777777777778,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,7,0.9395973154362416,0.0,0.921535101736444,0.7315436241610739,0.4899328859060403,0.4230132097581762,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,1,0.9533333333333334,0.9533333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,2,0.8066666666666666,0.8333333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,3,0.6066666666666667,0.6866666666666666,0,0,0.0,0,0,0.0,0,0
