task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,5,"(0, 10)",1,1,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",2,14,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",3,24,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",4,40,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",5,68,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",6,88,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(0, 10)",7,118,0.17847025495750707,0.29178470254957506
morph-gen,True,5,"(10, 100)",2,5,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(10, 100)",3,8,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(10, 100)",4,12,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(10, 100)",5,24,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(10, 100)",6,30,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(10, 100)",7,24,0.21359223300970873,0.3300970873786408
morph-gen,True,5,"(100, 1000)",1,6,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",2,11,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",3,22,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",4,23,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",5,26,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",6,18,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(100, 1000)",7,7,0.45132743362831856,0.5929203539823009
morph-gen,True,5,"(1000,)",1,143,0.6788793103448276,0.771551724137931
morph-gen,True,5,"(1000,)",2,120,0.6788793103448276,0.771551724137931
morph-gen,True,5,"(1000,)",3,92,0.6788793103448276,0.771551724137931
morph-gen,True,5,"(1000,)",4,75,0.6788793103448276,0.771551724137931
morph-gen,True,5,"(1000,)",5,24,0.6788793103448276,0.771551724137931
morph-gen,True,5,"(1000,)",6,10,0.6788793103448276,0.771551724137931
morph-gen,False,5,"(0, 10)",1,1,0.3050847457627119,0.3531073446327684
