task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,5,"(0, 10)",2,7,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(0, 10)",3,21,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(0, 10)",4,31,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(0, 10)",5,59,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(0, 10)",6,93,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(0, 10)",7,135,0.1531791907514451,0.2745664739884393
morph-gen,True,5,"(10, 100)",1,2,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",2,17,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",3,17,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",4,28,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",5,45,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",6,35,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(10, 100)",7,8,0.34868421052631576,0.46710526315789475
morph-gen,True,5,"(100, 1000)",1,7,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",2,19,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",3,39,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",4,35,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",5,29,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",6,13,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(100, 1000)",7,6,0.42567567567567566,0.5608108108108109
morph-gen,True,5,"(1000,)",1,141,0.7286821705426356,0.8087855297157622
morph-gen,True,5,"(1000,)",2,107,0.7286821705426356,0.8087855297157622
morph-gen,True,5,"(1000,)",3,69,0.7286821705426356,0.8087855297157622
morph-gen,True,5,"(1000,)",4,56,0.7286821705426356,0.8087855297157622
morph-gen,True,5,"(1000,)",5,9,0.7286821705426356,0.8087855297157622
morph-gen,True,5,"(1000,)",6,5,0.7286821705426356,0.8087855297157622
morph-gen,False,5,"(0, 10)",2,7,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(0, 10)",3,21,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(0, 10)",4,31,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(0, 10)",5,62,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(0, 10)",6,96,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(0, 10)",7,130,0.2737752161383285,0.31988472622478387
morph-gen,False,5,"(10, 100)",1,2,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",2,17,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",3,17,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",4,25,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",5,46,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",6,36,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(10, 100)",7,7,0.4666666666666667,0.5133333333333333
morph-gen,False,5,"(100, 1000)",1,7,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",2,19,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",3,40,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",4,35,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",5,33,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",6,13,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(100, 1000)",7,4,0.6026490066225165,0.6490066225165563
morph-gen,False,5,"(1000,)",1,141,0.7922077922077922,0.8181818181818182
morph-gen,False,5,"(1000,)",2,107,0.7922077922077922,0.8181818181818182
morph-gen,False,5,"(1000,)",3,72,0.7922077922077922,0.8181818181818182
morph-gen,False,5,"(1000,)",4,51,0.7922077922077922,0.8181818181818182
morph-gen,False,5,"(1000,)",5,9,0.7922077922077922,0.8181818181818182
morph-gen,False,5,"(1000,)",6,5,0.7922077922077922,0.8181818181818182
morph-disc,False,1,"(0, 10)",2,14,0.9298447383553766,0.0
morph-disc,False,1,"(0, 10)",3,105,0.9298447383553766,0.0
morph-disc,False,1,"(0, 10)",4,155,0.9298447383553766,0.0
morph-disc,False,1,"(0, 10)",5,310,0.9298447383553766,0.0
morph-disc,False,1,"(0, 10)",6,480,0.9298447383553766,0.0
morph-disc,False,1,"(0, 10)",7,675,0.9298447383553766,0.0
morph-disc,False,1,"(10, 100)",1,2,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",2,34,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",3,85,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",4,140,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",5,230,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",6,180,0.929676511954993,0.0
morph-disc,False,1,"(10, 100)",7,40,0.929676511954993,0.0
morph-disc,False,1,"(100, 1000)",1,7,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",2,38,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",3,200,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",4,175,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",5,165,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",6,65,0.9411764705882353,0.0
morph-disc,False,1,"(100, 1000)",7,30,0.9411764705882353,0.0
morph-disc,False,1,"(1000,)",1,141,0.8999055712936733,0.0
morph-disc,False,1,"(1000,)",2,213,0.8999055712936733,0.0
morph-disc,False,1,"(1000,)",3,355,0.8999055712936733,0.0
morph-disc,False,1,"(1000,)",4,280,0.8999055712936733,0.0
morph-disc,False,1,"(1000,)",5,45,0.8999055712936733,0.0
morph-disc,False,1,"(1000,)",6,25,0.8999055712936733,0.0
morph-gen,True,1,"(0, 10)",2,7,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(0, 10)",3,21,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(0, 10)",4,31,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(0, 10)",5,60,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(0, 10)",6,96,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(0, 10)",7,128,0.08454810495626822,0.17784256559766765
morph-gen,True,1,"(10, 100)",1,2,0.23333333333333334,0.36666666666666664
morph-gen,True,1,"(10, 100)",2,17,0.23333333333333334,0.36666666666666664
morph-gen,True,1,"(10, 100)",3,17,0.23333333333333334,0.36666666666666664
morph-gen,True,1,"(10, 100)",4,28,0.23333333333333334,0.36666666666666664
morph-gen,True,1,"(10, 100)",5,43,0.23333333333333334,0.36666666666666664
morph-gen,True,1,"(10, 100)",6,36,0.23333333333333334,0.36666666666666664
