task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,5,"(0, 10)",1,150,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",2,150,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",3,146,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",4,150,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",5,142,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",6,146,0.4365924491771539,0.5440464666021297
morph-gen,True,5,"(0, 10)",7,149,0.4365924491771539,0.5440464666021297
morph-gen,False,5,"(0, 10)",1,140,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",2,150,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",3,150,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",4,142,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",5,150,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",6,150,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(0, 10)",7,141,0.5395894428152492,0.5786901270772239
morph-gen,False,5,"(100, 1000)",1,4,1.0,1.0
morph-gen,False,5,"(1000,)",1,6,0.8333333333333334,0.8333333333333334
morph-disc,False,1,"(0, 10)",1,140,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",2,299,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",3,745,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",4,750,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",5,750,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",6,750,0.9241445321847331,0.0
morph-disc,False,1,"(0, 10)",7,745,0.9241445321847331,0.0
morph-disc,False,1,"(100, 1000)",1,4,0.75,0.0
morph-disc,False,1,"(1000,)",1,6,1.0,0.0
morph-gen,True,1,"(0, 10)",1,150,0.36689254598257504,0.4617618586640852
morph-gen,True,1,"(0, 10)",2,150,0.36689254598257504,0.4617618586640852
morph-gen,True,1,"(0, 10)",3,150,0.36689254598257504,0.4617618586640852
morph-gen,True,1,"(0, 10)",4,150,0.36689254598257504,0.4617618586640852
morph-gen,True,1,"(0, 10)",5,142,0.36689254598257504,0.4617618586640852
