language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4,morph-gen,True,5,1,0.9733333333333334,0.9733333333333334,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,2,0.72,0.8666666666666667,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,3,0.5540540540540541,0.7027027027027027,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,4,0.32,0.5333333333333333,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,5,0.21739130434782608,0.4057971014492754,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,6,0.14084507042253522,0.23943661971830985,0,0
tr,morph_gen_en,gpt-4,morph-gen,True,5,7,0.13333333333333333,0.21333333333333335,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,1,0.9733333333333334,0.9733333333333334,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,2,0.84,0.8533333333333334,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,3,0.6133333333333333,0.6933333333333334,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,4,0.3424657534246575,0.4246575342465753,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,5,0.22666666666666666,0.26666666666666666,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,6,0.13333333333333333,0.17333333333333334,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,7,0.1506849315068493,0.1506849315068493,0,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,1,0.6066666666666667,0.0,0.49777777777777776,0.28
tr,morph_disc_en,gpt-4,morph-disc,True,5,2,0.84,0.0,0.7911111111111111,0.6933333333333334
tr,morph_disc_en,gpt-4,morph-disc,True,5,3,0.8746666666666667,0.0,0.8454391534391534,0.52
tr,morph_disc_en,gpt-4,morph-disc,True,5,4,0.8773333333333333,0.0,0.8279100529100529,0.49333333333333335
tr,morph_disc_en,gpt-4,morph-disc,True,5,5,0.8533333333333334,0.0,0.8197830687830687,0.5066666666666667
tr,morph_disc_en,gpt-4,morph-disc,True,5,6,0.8266666666666667,0.0,0.7980952380952381,0.4266666666666667
tr,morph_disc_en,gpt-4,morph-disc,True,5,7,0.808,0.0,0.7834814814814814,0.32
tr,morph_gen_en,gpt-4,morph-gen,False,3,1,0.96,0.96,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,2,0.7733333333333333,0.8266666666666667,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,3,0.6133333333333333,0.6666666666666666,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,4,0.5205479452054794,0.6027397260273972,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,5,0.36,0.4,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,6,0.28,0.30666666666666664,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,7,0.1506849315068493,0.1506849315068493,0,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,1,0.9133333333333333,0.0,0.8844444444444445,0.8266666666666667
