task,is_ood,num_shots,num_suffixes,accuracy,faithfulness,f1,coherence
morph-gen,True,5,1,0.9666666666666667,0.9666666666666667,0,0
morph-gen,True,5,2,0.72,0.8533333333333334,0,0
morph-gen,True,5,3,0.541095890410959,0.6986301369863014,0,0
morph-gen,True,5,4,0.35333333333333333,0.5066666666666667,0,0
morph-gen,True,5,5,0.23943661971830985,0.4014084507042254,0,0
morph-gen,True,5,6,0.11643835616438356,0.2054794520547945,0,0
morph-gen,True,5,7,0.10067114093959731,0.1610738255033557,0,0
morph-gen,False,5,1,0.96,0.96,0,0
morph-gen,False,5,2,0.8533333333333334,0.8866666666666667,0,0
morph-gen,False,5,3,0.6466666666666666,0.68,0,0
morph-gen,False,5,4,0.4295774647887324,0.5140845070422535,0,0
morph-gen,False,5,5,0.4,0.49333333333333335,0,0
morph-gen,False,5,6,0.28,0.29333333333333333,0,0
morph-gen,False,5,7,0.20567375886524822,0.2198581560283688,0,0
morph-disc,False,1,1,0.8133333333333334,0.0,0.8133333333333334,0.8133333333333334
morph-disc,False,1,2,0.7692307692307693,0.0,0.6911111111111111,0.54
morph-disc,False,1,3,0.9315436241610738,0.0,0.8235132275132275,0.66
morph-disc,False,1,4,0.9533333333333334,0.0,0.8851851851851852,0.7666666666666667
morph-disc,False,1,5,0.9626666666666667,0.0,0.919973544973545,0.82
morph-disc,False,1,6,0.928,0.0,0.8860132275132275,0.6866666666666666
morph-disc,False,1,7,0.9288590604026845,0.0,0.9018269947800149,0.7046979865771812
morph-gen,True,1,1,0.9666666666666667,0.9666666666666667,0,0
morph-gen,True,1,2,0.6533333333333333,0.8,0,0
morph-gen,True,1,3,0.41333333333333333,0.56,0,0
morph-gen,True,1,4,0.3,0.5133333333333333,0,0
morph-gen,True,1,5,0.176056338028169,0.2676056338028169,0,0
morph-gen,True,1,6,0.006666666666666667,0.03333333333333333,0,0
morph-gen,True,1,7,0.02127659574468085,0.05673758865248227,0,0
morph-gen,True,3,1,0.9466666666666667,0.9466666666666667,0,0
morph-gen,True,3,2,0.6866666666666666,0.8133333333333334,0,0
morph-gen,True,3,3,0.4315068493150685,0.6164383561643836,0,0
morph-gen,True,3,4,0.3356164383561644,0.4931506849315068,0,0
morph-gen,True,3,5,0.176056338028169,0.36619718309859156,0,0
morph-gen,True,3,6,0.11594202898550725,0.15942028985507245,0,0
morph-gen,True,3,7,0.11724137931034483,0.1310344827586207,0,0
morph-disc,True,3,1,0.16,0.0,0.16,0.16
morph-disc,True,3,2,0.7190635451505016,0.0,0.6288888888888888,0.4533333333333333
morph-disc,True,3,3,0.9234899328859061,0.0,0.8458201058201058,0.64
morph-disc,True,3,4,0.932,0.0,0.8544312169312169,0.7
morph-disc,True,3,5,0.9093333333333333,0.0,0.845537037037037,0.6066666666666667
morph-disc,True,3,6,0.872,0.0,0.820015873015873,0.54
morph-disc,True,3,7,0.8751677852348994,0.0,0.8448412698412698,0.5503355704697986
morph-gen,False,3,1,0.9466666666666667,0.9466666666666667,0,0
morph-gen,False,3,2,0.8133333333333334,0.8533333333333334,0,0
morph-gen,False,3,3,0.6333333333333333,0.6933333333333334,0,0
morph-gen,False,3,4,0.4794520547945205,0.5616438356164384,0,0
morph-gen,False,3,5,0.30666666666666664,0.37333333333333335,0,0
morph-gen,False,3,6,0.25333333333333335,0.28,0,0
morph-gen,False,3,7,0.19310344827586207,0.20689655172413793,0,0
morph-disc,True,5,1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
morph-disc,True,5,2,0.8695652173913043,0.0,0.8288888888888889,0.7466666666666667
morph-disc,True,5,3,0.8899328859060402,0.0,0.8550608465608466,0.56
morph-disc,True,5,4,0.8893333333333333,0.0,0.8447089947089947,0.56
morph-disc,True,5,5,0.8466666666666667,0.0,0.8047671957671958,0.46
morph-disc,True,5,6,0.8493333333333334,0.0,0.8248465608465608,0.5
morph-disc,True,5,7,0.836241610738255,0.0,0.8127516778523489,0.42953020134228187
morph-disc,True,1,1,0.05333333333333334,0.0,0.05333333333333334,0.05333333333333334
morph-disc,True,1,2,0.5719063545150501,0.0,0.4288888888888889,0.14666666666666667
morph-disc,True,1,3,0.8604026845637583,0.0,0.6201269841269842,0.30666666666666664
morph-disc,True,1,4,0.868,0.0,0.6400793650793651,0.3466666666666667
morph-disc,True,1,5,0.912,0.0,0.7849867724867725,0.58
morph-disc,True,1,6,0.8706666666666667,0.0,0.7190502645502646,0.41333333333333333
