language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,1,0.9266666666666666,0.0,0.9044444444444445,0.86,0.5,0.41333333333333333,0.24,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,2,0.9362416107382551,0.0,0.9194630872483222,0.8859060402684564,0.5503355704697986,0.45861297539149887,0.2751677852348993,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,3,0.938255033557047,0.0,0.8998677248677248,0.7133333333333334,0.5181208053691275,0.450042328042328,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,4,0.94,0.0,0.8759259259259259,0.7266666666666667,0.5386666666666666,0.45747883597883593,0.04,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,5,0.9146666666666666,0.0,0.8736111111111111,0.6533333333333333,0.49066666666666664,0.42064550264550266,0.06666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,6,0.896,0.0,0.8501349206349206,0.6133333333333333,0.516,0.4409312169312169,0.04666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,5,7,0.9073825503355705,0.0,0.8787898157025673,0.6040268456375839,0.5073825503355704,0.4389554703313092,0.040268456375838924,0.8,0.4444444444444444,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,1,0.9666666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,2,0.6040268456375839,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,3,0.6,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,4,0.4866666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,5,0.2733333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,6,0.17333333333333334,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,5,7,0.1342281879194631,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,1,0.9,0.0,0.8688888888888889,0.8066666666666666,0.5533333333333333,0.47555555555555556,0.32,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,2,0.9093959731543624,0.0,0.8791946308724832,0.8187919463087249,0.5302013422818792,0.45861297539149887,0.31543624161073824,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,3,0.9087248322147651,0.0,0.8597248677248677,0.6133333333333333,0.5100671140939598,0.42087830687830685,0.02666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,4,0.9186666666666666,0.0,0.848478835978836,0.6333333333333333,0.48533333333333334,0.41698941798941797,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,5,0.8573333333333333,0.0,0.7733174603174603,0.46,0.5306666666666666,0.4431375661375661,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,6,0.8533333333333334,0.0,0.7819179894179894,0.4866666666666667,0.524,0.44925132275132273,0.06,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,5,7,0.8389261744966443,0.0,0.7962368168744007,0.4563758389261745,0.49798657718120803,0.41728187919463083,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,1,0.94,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,2,0.6711409395973155,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,3,0.54,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,4,0.48,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,5,0.26,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,6,0.11333333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,5,7,0.1610738255033557,0.0,0,0,0.0,0,0,0.0,0,0
