language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,1,0.6366666666666667,0.0,0.5177777777777778,0.28,0.49666666666666665,0.4222222222222222,0.2733333333333333,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,2,0.7785234899328859,0.0,0.7069351230425056,0.5637583892617449,0.5134228187919463,0.4250559284116331,0.2483221476510067,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,3,0.912751677852349,0.0,0.8708597883597884,0.6266666666666667,0.5221476510067115,0.4414444444444444,0.04666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,4,0.9013333333333333,0.0,0.7588624338624338,0.5266666666666666,0.472,0.39195767195767195,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,5,0.8933333333333333,0.0,0.7970238095238095,0.54,0.5146666666666667,0.4521243386243386,0.04,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,6,0.8866666666666667,0.0,0.7911058201058201,0.5066666666666667,0.4826666666666667,0.41517195767195764,0.04,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,5,7,0.9046979865771813,0.0,0.8176334292106104,0.5704697986577181,0.5167785234899329,0.45293490998188984,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,1,0.9366666666666666,0.0,0.9155555555555556,0.8733333333333333,0.4766666666666667,0.39999999999999997,0.24666666666666667,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,2,0.9261744966442953,0.0,0.901565995525727,0.8523489932885906,0.4899328859060403,0.3959731543624161,0.2080536912751678,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,3,0.9704697986577181,0.0,0.9439153439153439,0.8533333333333334,0.5302013422818792,0.4535740740740741,0.06666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,4,0.976,0.0,0.9587301587301588,0.88,0.4866666666666667,0.42367724867724865,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,5,0.96,0.0,0.9458333333333333,0.82,0.5,0.4259391534391534,0.05333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,6,0.9493333333333334,0.0,0.923941798941799,0.7666666666666667,0.504,0.43177513227513226,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,False,5,7,0.9557046979865772,0.0,0.9420741450942793,0.7986577181208053,0.508724832214765,0.42985778203899006,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,1,0.5,0.0,0.3333333333333333,0,0.49333333333333335,0.40888888888888886,0.24,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,2,0.5201342281879194,0.0,0.36017897091722595,0.040268456375838924,0.4697986577181208,0.3870246085011186,0.2214765100671141,0.5,0.3333333333333333,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,3,0.8013422818791947,0.0,0.45405555555555555,0.02,0.548993288590604,0.47055291005291,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,4,0.8053333333333333,0.0,0.46137566137566133,0.02666666666666667,0.48933333333333334,0.42017460317460315,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,5,0.8106666666666666,0.0,0.47407407407407404,0.05333333333333334,0.4653333333333333,0.4086693121693121,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,6,0.8026666666666666,0.0,0.45185185185185184,0.013333333333333334,0.492,0.41334126984126984,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_no_affix_en,gpt-4,morph-disc,True,1,7,0.8080536912751678,0.0,0.47007829977628635,0.04697986577181208,0.487248322147651,0.4162671780121444,0.026845637583892617,0.8,0.4444444444444444,0
