language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_en,gpt-4,morph-disc,True,1,1,0.5133333333333333,0.0,0.3511111111111111,0.02666666666666667,0.5233333333333333,0.4444444444444444,0.2866666666666667,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,2,0.584717607973422,0.0,0.44266666666666665,0.16666666666666666,0.521594684385382,0.4288888888888889,0.24,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,3,0.853887399463807,0.0,0.6148835978835979,0.2866666666666667,0.47989276139410186,0.4027037037037037,0.02,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,4,0.8773333333333333,0.0,0.6744708994708994,0.3933333333333333,0.49866666666666665,0.43018518518518517,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,5,0.88,0.0,0.719015873015873,0.4266666666666667,0.5266666666666666,0.4497116402116402,0.04666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,6,0.852,0.0,0.7201746031746031,0.4,0.5253333333333333,0.44007671957671957,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,1,7,0.8416107382550335,0.0,0.7470011718333865,0.44966442953020136,0.4993288590604027,0.4279668690742516,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,1,0.6333333333333333,0.0,0.5222222222222223,0.3,0.53,0.45111111111111113,0.29333333333333333,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,2,0.7574750830564784,0.0,0.6826666666666666,0.5266666666666666,0.48172757475083056,0.4122222222222222,0.26666666666666666,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,3,0.903485254691689,0.0,0.852010582010582,0.62,0.4932975871313673,0.41686772486772483,0.006666666666666667,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,4,0.8986666666666666,0.0,0.8387566137566137,0.58,0.4693333333333333,0.3907407407407407,0.02,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,5,0.8266666666666667,0.0,0.7687248677248677,0.38666666666666666,0.5306666666666666,0.4657328042328042,0.06666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,6,0.7986666666666666,0.0,0.762515873015873,0.41333333333333333,0.4786666666666667,0.41393915343915344,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,3,7,0.7583892617449665,0.0,0.7332614253755193,0.33557046979865773,0.5140939597315436,0.43761851496750825,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,1,0.94,0.0,0.92,0.88,0.5433333333333333,0.45999999999999996,0.29333333333333333,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,2,0.9169435215946844,0.0,0.8955555555555555,0.8466666666666667,0.5049833887043189,0.4211111111111111,0.24666666666666667,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,3,0.9557640750670241,0.0,0.9287301587301587,0.7933333333333333,0.49195710455764075,0.4179259259259259,0.006666666666666667,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,4,0.9373333333333334,0.0,0.917526455026455,0.72,0.48533333333333334,0.4161587301587301,0,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,5,0.912,0.0,0.8994074074074074,0.6733333333333333,0.45866666666666667,0.3800396825396825,0,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,6,0.8813333333333333,0.0,0.8588677248677249,0.5533333333333333,0.49066666666666664,0.42747619047619045,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,7,0.836241610738255,0.0,0.816144668158091,0.4563758389261745,0.4912751677852349,0.41576115904974964,0.04697986577181208,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,1,0.89,0.0,0.8533333333333333,0.78,0.4666666666666667,0.3844444444444444,0.22,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,2,0.7641196013289037,0.0,0.6826666666666666,0.5266666666666666,0.5282392026578073,0.4438888888888889,0.28,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,3,0.9343163538873994,0.0,0.8266878306878307,0.6733333333333333,0.4959785522788204,0.41833597883597884,0.03333333333333333,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,4,0.944,0.0,0.8625,0.7266666666666667,0.536,0.45087301587301587,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,5,0.9573333333333334,0.0,0.9080026455026455,0.7933333333333333,0.4786666666666667,0.411005291005291,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,6,0.908,0.0,0.8301587301587301,0.5933333333333334,0.49466666666666664,0.425537037037037,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,7,0.8966442953020134,0.0,0.856253329072121,0.5771812080536913,0.5154362416107383,0.44068126131884516,0.013422818791946308,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,1,0.92,0.0,0.8933333333333333,0.84,0.51,0.43333333333333335,0.28,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,2,0.9003322259136213,0.0,0.8688888888888889,0.8,0.5016611295681063,0.42166666666666663,0.25333333333333335,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,3,0.953083109919571,0.0,0.9035978835978836,0.7666666666666667,0.4959785522788204,0.4244047619047619,0.02,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,4,0.9506666666666667,0.0,0.9216269841269841,0.7666666666666667,0.49866666666666665,0.4250449735449735,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,5,0.936,0.0,0.9178597883597883,0.7466666666666667,0.4746666666666667,0.40039153439153435,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,6,0.876,0.0,0.8527195767195767,0.5666666666666667,0.488,0.4187936507936508,0.02,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,7,0.8818791946308725,0.0,0.8613454777884307,0.5503355704697986,0.4885906040268456,0.4079897730904442,0.020134228187919462,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,1,0.6733333333333333,0.0,0.5711111111111111,0.36666666666666664,0.49333333333333335,0.40888888888888886,0.24,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,2,0.8205980066445183,0.0,0.7788888888888889,0.6866666666666666,0.46179401993355484,0.37155555555555553,0.2,0.5016611295681063,0.33199999999999996,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,3,0.8525469168900804,0.0,0.8238386243386243,0.4533333333333333,0.5067024128686327,0.4299100529100529,0.013333333333333334,0.7989276139410187,0.44385185185185183,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,4,0.8053333333333333,0.0,0.7693201058201058,0.3933333333333333,0.5133333333333333,0.4412830687830688,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,5,0.7573333333333333,0.0,0.7156693121693122,0.28,0.4866666666666667,0.41298412698412695,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,6,0.7413333333333333,0.0,0.7169576719576719,0.28,0.504,0.42806349206349203,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,True,5,7,0.6711409395973155,0.0,0.6469425801640566,0.20134228187919462,0.5221476510067115,0.44218600191754553,0.026845637583892617,0.8,0.4444444444444444,0
