language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_gen_en,gpt-4,morph-gen,False,3,1,0.9133858267716536,0.9133858267716536,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,2,0.7278911564625851,0.7482993197278912,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,3,0.5911602209944752,0.6519337016574586,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,4,0.4470588235294118,0.4588235294117647,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,5,0.3402777777777778,0.3472222222222222,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,6,0.3384615384615385,0.3384615384615385,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,3,7,0.30666666666666664,0.30666666666666664,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,1,0.9448818897637795,0.9448818897637795,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,2,0.7482993197278912,0.7619047619047619,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,3,0.6022099447513812,0.6464088397790055,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,4,0.4235294117647059,0.4470588235294118,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,5,0.40540540540540543,0.43243243243243246,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,6,0.2846153846153846,0.2923076923076923,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,7,0.28,0.28,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,1,0.8951965065502183,0.0,0.8661417322834646,0.8110236220472441,0.4890829694323144,0.4330708661417323,0.30708661417322836,0.44541484716157204,0.26771653543307083,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,2,0.9659863945578231,0.0,0.9546485260770975,0.9319727891156463,0.5510204081632653,0.4580498866213152,0.272108843537415,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,3,0.9748083242059146,0.0,0.9524345774345774,0.8810810810810811,0.5049288061336255,0.4348005148005148,0.043243243243243246,0.7973713033953997,0.443003003003003,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,4,0.9740566037735849,0.0,0.9536297852474322,0.8823529411764706,0.5247641509433962,0.44962651727357605,0.06470588235294118,0.7995283018867925,0.44425770308123247,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,5,0.9743243243243244,0.0,0.9608537108537109,0.8716216216216216,0.504054054054054,0.4230829043329043,0.02702702702702703,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,6,0.9753846153846154,0.0,0.9584859584859585,0.8769230769230769,0.48923076923076925,0.41444749694749694,0.038461538461538464,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,7,0.952,0.0,0.9402116402116402,0.7866666666666666,0.5093333333333333,0.4242910052910053,0.04,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,1,0.8976377952755905,0.8976377952755905,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,2,0.7482993197278912,0.782312925170068,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,3,0.5193370165745856,0.574585635359116,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,4,0.38235294117647056,0.4235294117647059,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,5,0.24324324324324326,0.28378378378378377,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,6,0.24603174603174602,0.24603174603174602,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,7,0.17333333333333334,0.17333333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,1,0.834061135371179,0.0,0.7769028871391076,0.7007874015748031,0.5152838427947598,0.45669291338582674,0.33070866141732286,0.44541484716157204,0.26771653543307083,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,2,0.8979591836734694,0.0,0.8639455782312925,0.7959183673469388,0.5374149659863946,0.4603174603174603,0.30612244897959184,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,3,0.9627601314348302,0.0,0.9096696696696697,0.8162162162162162,0.5180722891566265,0.4381102531102531,0.05405405405405406,0.7973713033953997,0.443003003003003,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,4,0.9752358490566038,0.0,0.9476540616246498,0.888235294117647,0.4964622641509434,0.4180252100840336,0.01764705882352941,0.7995283018867925,0.44425770308123247,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,5,0.981081081081081,0.0,0.9646074646074646,0.9054054054054054,0.5135135135135135,0.44118135993135993,0.02702702702702703,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,6,0.9769230769230769,0.0,0.9583333333333334,0.8923076923076924,0.54,0.45519841269841266,0.038461538461538464,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,7,0.9733333333333334,0.0,0.9597883597883597,0.8666666666666667,0.48,0.4031216931216931,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,1,0.7729257641921398,0.0,0.6876640419947506,0.5905511811023622,0.48034934497816595,0.4094488188976378,0.2677165354330709,0.44541484716157204,0.26771653543307083,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,2,0.7687074829931972,0.0,0.691609977324263,0.5374149659863946,0.47959183673469385,0.41043083900226757,0.272108843537415,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,3,0.9288061336254108,0.0,0.810948090948091,0.6486486486486487,0.4994523548740416,0.4299485199485199,0.032432432432432434,0.7973713033953997,0.443003003003003,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,4,0.9551886792452831,0.0,0.8882703081232493,0.788235294117647,0.535377358490566,0.4605228758169934,0.03529411764705882,0.7995283018867925,0.44425770308123247,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,5,0.9716216216216216,0.0,0.9254611754611755,0.8581081081081081,0.49864864864864866,0.434529172029172,0.0472972972972973,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,6,0.9815384615384616,0.0,0.9584859584859585,0.9076923076923077,0.5107692307692308,0.4295482295482295,0.03076923076923077,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,1,7,0.9493333333333334,0.0,0.9108465608465608,0.76,0.536,0.444989417989418,0.02666666666666667,0.8,0.4444444444444444,0
