language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_en,gpt-4,morph-disc,False,5,1,0.9191176470588235,0.0,0.8933333333333333,0.8533333333333334,0.5441176470588235,0.48,0.37333333333333335,0.4485294117647059,0.2711111111111111,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,2,0.96,0.0,0.9466666666666667,0.92,0.5,0.40888888888888886,0.22666666666666666,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,3,0.9757412398921833,0.0,0.9567460317460318,0.8933333333333333,0.5148247978436657,0.4465820105820106,0.02666666666666667,0.7978436657681941,0.44325925925925924,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,4,0.9786666666666667,0.0,0.9576719576719577,0.8933333333333333,0.5573333333333333,0.4827619047619047,0.05333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,5,0.9706666666666667,0.0,0.9566137566137566,0.8533333333333334,0.512,0.4271216931216931,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,6,0.9786666666666667,0.0,0.9619047619047619,0.8933333333333333,0.5013333333333333,0.410058201058201,0.04,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,5,7,0.952,0.0,0.9402116402116402,0.7866666666666666,0.48533333333333334,0.40229629629629626,0,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,1,0.9333333333333333,0.9333333333333333,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,2,0.76,0.76,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,3,0.6351351351351351,0.7027027027027027,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,4,0.38666666666666666,0.4,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,5,0.37333333333333335,0.4266666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,6,0.30666666666666664,0.32,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,5,7,0.28,0.28,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,1,0.8148148148148148,0.0,0.7511111111111111,0.6666666666666666,0.4962962962962963,0.4222222222222222,0.26666666666666666,0.4444444444444444,0.26666666666666666,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,2,0.9,0.0,0.8666666666666667,0.8,0.5133333333333333,0.4222222222222222,0.24,0.5,0.3333333333333333,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,3,0.9649595687331537,0.0,0.9248677248677248,0.8266666666666667,0.4582210242587601,0.3954338624338624,0.02666666666666667,0.7978436657681941,0.44325925925925924,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,4,0.9812834224598931,0.0,0.9566137566137566,0.9066666666666666,0.45454545454545453,0.3891322751322751,0.013333333333333334,0.7994652406417112,0.4442328042328042,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,5,0.984,0.0,0.9724867724867725,0.92,0.4746666666666667,0.40298412698412694,0,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,6,0.9626666666666667,0.0,0.930952380952381,0.8266666666666667,0.512,0.4358994708994709,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_en,gpt-4,morph-disc,False,3,7,0.9733333333333334,0.0,0.9597883597883597,0.8666666666666667,0.5333333333333333,0.4667354497354497,0.10666666666666667,0.8,0.4444444444444444,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,1,0.92,0.92,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,2,0.72,0.76,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,3,0.5205479452054794,0.547945205479452,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,4,0.4,0.4266666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_en,gpt-4,morph-gen,False,1,5,0.22666666666666666,0.25333333333333335,0,0,0.0,0,0,0.0,0,0
