language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,1,0.9066666666666666,0.0,0.88,0.8266666666666667,0.49333333333333335,0.40888888888888886,0.24,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,2,0.919732441471572,0.0,0.8955555555555555,0.8466666666666667,0.5317725752508361,0.4488888888888889,0.2866666666666667,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,3,0.9194630872483222,0.0,0.8890423280423281,0.68,0.4966442953020134,0.4192407407407407,0.03333333333333333,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,4,0.9133333333333333,0.0,0.8740423280423281,0.6866666666666666,0.488,0.41605291005291,0.006666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,5,0.872,0.0,0.8217275132275133,0.5066666666666667,0.5013333333333333,0.42028571428571426,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,6,0.8466666666666667,0.0,0.7894867724867725,0.44666666666666666,0.49733333333333335,0.42816931216931214,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,False,0,7,0.8496644295302014,0.0,0.7947001171833387,0.42953020134228187,0.47114093959731546,0.38842814530733993,0.013422818791946308,0.8,0.4444444444444444,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,1,0.8,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,2,0.6066666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,3,0.4533333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,4,0.19333333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,5,0.08666666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,6,0.013333333333333334,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,True,0,7,0.006711409395973154,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,1,0.8466666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,2,0.6933333333333334,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,3,0.5,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,4,0.26666666666666666,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,5,0.18666666666666668,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,6,0.02,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_en,gpt-4,morph-gen,False,0,7,0.020134228187919462,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,1,0.7333333333333333,0.0,0.6688888888888889,0.54,0.5166666666666667,0.4444444444444444,0.3,0.5,0.3333333333333333,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,2,0.8127090301003345,0.0,0.7577777777777778,0.6466666666666666,0.4882943143812709,0.40888888888888886,0.24666666666666667,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,3,0.8080536912751678,0.0,0.7198624338624339,0.32666666666666666,0.5060402684563758,0.43047354497354495,0.04,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,4,0.784,0.0,0.7051031746031746,0.30666666666666664,0.5253333333333333,0.46784656084656084,0.05333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,5,0.8,0.0,0.7049656084656084,0.30666666666666664,0.45466666666666666,0.37966137566137564,0.02,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,6,0.7933333333333333,0.0,0.6999735449735449,0.3,0.46266666666666667,0.40106349206349207,0.02,0.8,0.4444444444444444,0
tr,morph_disc_cot_en,gpt-4,morph-disc,True,0,7,0.7342281879194631,0.0,0.656828592734633,0.2348993288590604,0.5288590604026846,0.4578006817939704,0.040268456375838924,0.8,0.4444444444444444,0
