language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,1,0.98,0.98,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,2,0.7333333333333333,0.86,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,3,0.5833333333333334,0.6736111111111112,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,4,0.3581081081081081,0.3918918918918919,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,5,0.2702702702702703,0.31756756756756754,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,6,0.16216216216216217,0.16891891891891891,0,0
tr,morph_gen_sent_en,gpt-4,morph-gen,True,5,7,0.1564625850340136,0.17006802721088435,0,0
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,1,0.6666666666666666,0.0,0.5622222222222222,0.35333333333333333
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,2,0.6822742474916388,0.0,0.5777777777777777,0.37333333333333335
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,3,0.8308724832214766,0.0,0.5451269841269841,0.17333333333333334
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,4,0.8213333333333334,0.0,0.5104497354497354,0.11333333333333333
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,5,0.828,0.0,0.5268518518518518,0.14666666666666667
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,6,0.8346666666666667,0.0,0.5563492063492064,0.18666666666666668
tr,morph_disc_sent_en,gpt-4,morph-disc,True,1,7,0.8295302013422818,0.0,0.5375253009481197,0.15436241610738255
tr,morph_disc_sent_en,gpt-4,morph-disc,False,5,1,0.91,0.0,0.88,0.82
tr,morph_disc_sent_en,gpt-4,morph-disc,False,5,2,0.8929765886287625,0.0,0.8577777777777778,0.7866666666666666
tr,morph_disc_sent_en,gpt-4,morph-disc,False,5,3,0.9530201342281879,0.0,0.8898148148148148,0.7733333333333333
