task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-disc,False,5,1,0.9838709677419355,0.9838709677419355
morph-disc,False,5,2,0.9833333333333333,1.0
morph-disc,False,5,3,0.8833333333333333,1.0
morph-disc,False,5,4,0.9487179487179487,1.0
morph-disc,False,5,5,0.9649122807017544,1.0
morph-disc,False,5,6,0.9615384615384616,1.0
morph-disc,False,5,7,1.0,1.0
morph-disc,False,5,8,0.9523809523809523,1.0
morph-disc,False,5,9,1.0,1.0
morph-disc,False,5,10,1.0,1.0
morph-gen,False,5,1,0.9516129032258065,0.9516129032258065
morph-gen,False,5,2,0.8,0.8
morph-gen,False,5,3,0.6833333333333333,0.7833333333333333
morph-gen,False,5,4,0.6923076923076923,0.717948717948718
morph-gen,False,5,5,0.49122807017543857,0.5263157894736842
morph-gen,False,5,6,0.34615384615384615,0.36538461538461536
morph-gen,False,5,7,0.28125,0.28125
morph-gen,False,5,8,0.23809523809523808,0.23809523809523808
morph-gen,False,5,9,0.16666666666666666,0.16666666666666666
morph-gen,False,5,10,0.0,0.0
morph-gen,False,3,1,0.9516129032258065,0.9516129032258065
morph-gen,False,3,2,0.85,0.85
morph-gen,False,3,3,0.65,0.7
morph-gen,False,3,4,0.5897435897435898,0.6666666666666666
morph-gen,False,3,5,0.43859649122807015,0.43859649122807015
morph-gen,False,3,6,0.3269230769230769,0.34615384615384615
morph-gen,False,3,7,0.25,0.25
morph-gen,False,3,8,0.19047619047619047,0.19047619047619047
morph-gen,False,3,9,0.16666666666666666,0.16666666666666666
morph-gen,False,3,10,0.0,0.0
morph-disc,False,1,1,0.967741935483871,0.967741935483871
morph-disc,False,1,2,0.9666666666666667,0.9833333333333333
morph-disc,False,1,3,0.8666666666666667,1.0
morph-disc,False,1,4,0.9487179487179487,1.0
morph-disc,False,1,5,0.9298245614035088,1.0
morph-disc,False,1,6,0.9807692307692307,1.0
morph-disc,False,1,7,0.96875,1.0
morph-disc,False,1,8,0.9523809523809523,1.0
morph-disc,False,1,9,0.8333333333333334,1.0
morph-disc,False,1,10,1.0,1.0
morph-gen,False,1,1,0.9354838709677419,0.9354838709677419
morph-gen,False,1,2,0.7333333333333333,0.75
morph-gen,False,1,3,0.6333333333333333,0.7166666666666667
morph-gen,False,1,4,0.5128205128205128,0.5128205128205128
morph-gen,False,1,5,0.38596491228070173,0.38596491228070173
morph-gen,False,1,6,0.36538461538461536,0.38461538461538464
morph-gen,False,1,7,0.21875,0.25
morph-gen,False,1,8,0.047619047619047616,0.047619047619047616
morph-gen,False,1,9,0.16666666666666666,0.16666666666666666
morph-gen,False,1,10,0.0,0.0
morph-disc,False,3,1,0.9838709677419355,0.9838709677419355
morph-disc,False,3,2,0.9666666666666667,0.9833333333333333
morph-disc,False,3,3,0.8666666666666667,1.0
morph-disc,False,3,4,0.9487179487179487,1.0
morph-disc,False,3,5,0.9473684210526315,1.0
morph-disc,False,3,6,0.9615384615384616,1.0
morph-disc,False,3,7,0.96875,1.0
morph-disc,False,3,8,0.8095238095238095,1.0
morph-disc,False,3,9,1.0,1.0
morph-disc,False,3,10,1.0,1.0
