task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-disc,True,1,"(0, 10)",4,6,0.9570552147239264,1.0
morph-disc,True,1,"(0, 10)",5,26,0.9570552147239264,1.0
morph-disc,True,1,"(0, 10)",6,40,0.9570552147239264,1.0
morph-disc,True,1,"(0, 10)",7,49,0.9570552147239264,1.0
morph-disc,True,1,"(0, 10)",8,37,0.9570552147239264,1.0
morph-disc,True,1,"(0, 10)",9,5,0.9570552147239264,1.0
morph-disc,True,1,"(10, 100)",2,1,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(10, 100)",3,4,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(10, 100)",4,25,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(10, 100)",5,19,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(10, 100)",6,10,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(10, 100)",7,1,0.8166666666666667,0.9833333333333333
morph-disc,True,1,"(100, 1000)",2,11,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",3,25,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",4,18,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",5,5,0.8135593220338984,1.0
morph-disc,True,1,"(1000,)",1,50,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",2,38,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",3,21,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",4,1,0.9727272727272728,1.0
morph-gen,True,1,"(0, 10)",4,6,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(0, 10)",5,26,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(0, 10)",6,40,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(0, 10)",7,49,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(0, 10)",8,37,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(0, 10)",9,5,0.0736196319018405,0.13496932515337423
morph-gen,True,1,"(10, 100)",2,1,0.3,0.5166666666666667
morph-gen,True,1,"(10, 100)",3,4,0.3,0.5166666666666667
morph-gen,True,1,"(10, 100)",4,25,0.3,0.5166666666666667
morph-gen,True,1,"(10, 100)",5,19,0.3,0.5166666666666667
morph-gen,True,1,"(10, 100)",6,10,0.3,0.5166666666666667
morph-gen,True,1,"(10, 100)",7,1,0.3,0.5166666666666667
morph-gen,True,1,"(100, 1000)",2,11,0.4745762711864407,0.5254237288135594
morph-gen,True,1,"(100, 1000)",3,25,0.4745762711864407,0.5254237288135594
morph-gen,True,1,"(100, 1000)",4,18,0.4745762711864407,0.5254237288135594
morph-gen,True,1,"(100, 1000)",5,5,0.4745762711864407,0.5254237288135594
morph-gen,True,1,"(1000,)",1,50,0.8272727272727273,0.8727272727272727
morph-gen,True,1,"(1000,)",2,38,0.8272727272727273,0.8727272727272727
morph-gen,True,1,"(1000,)",3,21,0.8272727272727273,0.8727272727272727
morph-gen,True,1,"(1000,)",4,1,0.8272727272727273,0.8727272727272727
morph-gen,False,1,"(0, 10)",4,6,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(0, 10)",5,26,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(0, 10)",6,40,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(0, 10)",7,49,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(0, 10)",8,37,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(0, 10)",9,5,0.1656441717791411,0.1901840490797546
morph-gen,False,1,"(10, 100)",2,1,0.55,0.6
morph-gen,False,1,"(10, 100)",3,4,0.55,0.6
morph-gen,False,1,"(10, 100)",4,25,0.55,0.6
morph-gen,False,1,"(10, 100)",5,19,0.55,0.6
morph-gen,False,1,"(10, 100)",6,10,0.55,0.6
morph-gen,False,1,"(10, 100)",7,1,0.55,0.6
morph-gen,False,1,"(100, 1000)",2,11,0.576271186440678,0.6101694915254238
morph-gen,False,1,"(100, 1000)",3,25,0.576271186440678,0.6101694915254238
morph-gen,False,1,"(100, 1000)",4,18,0.576271186440678,0.6101694915254238
morph-gen,False,1,"(100, 1000)",5,5,0.576271186440678,0.6101694915254238
morph-gen,False,1,"(1000,)",1,50,0.8727272727272727,0.8909090909090909
morph-gen,False,1,"(1000,)",2,38,0.8727272727272727,0.8909090909090909
morph-gen,False,1,"(1000,)",3,21,0.8727272727272727,0.8909090909090909
morph-gen,False,1,"(1000,)",4,1,0.8727272727272727,0.8909090909090909
morph-disc,False,5,"(0, 10)",4,6,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(0, 10)",5,26,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(0, 10)",6,40,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(0, 10)",7,49,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(0, 10)",8,37,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(0, 10)",9,5,0.9693251533742331,0.9877300613496932
morph-disc,False,5,"(10, 100)",2,1,0.9166666666666666,1.0
morph-disc,False,5,"(10, 100)",3,4,0.9166666666666666,1.0
morph-disc,False,5,"(10, 100)",4,25,0.9166666666666666,1.0
morph-disc,False,5,"(10, 100)",5,19,0.9166666666666666,1.0
morph-disc,False,5,"(10, 100)",6,10,0.9166666666666666,1.0
morph-disc,False,5,"(10, 100)",7,1,0.9166666666666666,1.0
morph-disc,False,5,"(100, 1000)",2,11,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",3,25,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",4,18,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",5,5,0.9322033898305084,1.0
morph-disc,False,5,"(1000,)",1,50,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",2,38,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",3,21,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",4,1,0.990909090909091,1.0
morph-gen,False,3,"(0, 10)",4,6,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(0, 10)",5,26,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(0, 10)",6,40,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(0, 10)",7,49,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(0, 10)",8,37,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(0, 10)",9,5,0.2331288343558282,0.2822085889570552
morph-gen,False,3,"(10, 100)",2,1,0.5166666666666667,0.5833333333333334
morph-gen,False,3,"(10, 100)",3,4,0.5166666666666667,0.5833333333333334
morph-gen,False,3,"(10, 100)",4,25,0.5166666666666667,0.5833333333333334
morph-gen,False,3,"(10, 100)",5,19,0.5166666666666667,0.5833333333333334
