task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-disc,True,1,"(0, 10)",1,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",2,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",3,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",4,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",5,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",6,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",7,50,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",8,37,0.9183673469387755,0.9974489795918368
morph-disc,True,1,"(0, 10)",9,5,0.9183673469387755,0.9974489795918368
morph-gen,True,1,"(0, 10)",1,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",2,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",3,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",4,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",5,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",6,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",7,50,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",8,37,0.38010204081632654,0.45918367346938777
morph-gen,True,1,"(0, 10)",9,5,0.38010204081632654,0.45918367346938777
morph-gen,False,1,"(0, 10)",1,9,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",2,17,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",3,35,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",4,43,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",5,49,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",6,50,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",7,50,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",8,37,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(0, 10)",9,5,0.3694915254237288,0.4033898305084746
morph-gen,False,1,"(10, 100)",1,17,0.8,0.8
morph-gen,False,1,"(10, 100)",2,17,0.8,0.8
morph-gen,False,1,"(10, 100)",3,13,0.8,0.8
morph-gen,False,1,"(10, 100)",4,7,0.8,0.8
morph-gen,False,1,"(10, 100)",5,1,0.8,0.8
morph-gen,False,1,"(100, 1000)",1,15,0.8571428571428571,0.8928571428571429
morph-gen,False,1,"(100, 1000)",2,11,0.8571428571428571,0.8928571428571429
morph-gen,False,1,"(100, 1000)",3,2,0.8571428571428571,0.8928571428571429
morph-gen,False,1,"(1000,)",1,9,0.9285714285714286,0.9285714285714286
morph-gen,False,1,"(1000,)",2,5,0.9285714285714286,0.9285714285714286
morph-disc,False,5,"(0, 10)",1,9,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",2,17,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",3,35,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",4,43,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",5,49,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",6,50,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",7,50,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",8,37,0.9491525423728814,0.9932203389830508
morph-disc,False,5,"(0, 10)",9,5,0.9491525423728814,0.9932203389830508
