task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,5,"(0, 10)",4,6,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(0, 10)",5,26,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(0, 10)",6,40,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(0, 10)",7,49,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(0, 10)",8,37,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(0, 10)",9,5,0.2822085889570552,0.294478527607362
morph-gen,False,5,"(10, 100)",2,1,0.45,0.48333333333333334
morph-gen,False,5,"(10, 100)",3,4,0.45,0.48333333333333334
morph-gen,False,5,"(10, 100)",4,25,0.45,0.48333333333333334
morph-gen,False,5,"(10, 100)",5,19,0.45,0.48333333333333334
morph-gen,False,5,"(10, 100)",6,10,0.45,0.48333333333333334
morph-gen,False,5,"(10, 100)",7,1,0.45,0.48333333333333334
morph-gen,False,5,"(100, 1000)",2,11,0.6949152542372882,0.6949152542372882
morph-gen,False,5,"(100, 1000)",3,25,0.6949152542372882,0.6949152542372882
morph-gen,False,5,"(100, 1000)",4,18,0.6949152542372882,0.6949152542372882
morph-gen,False,5,"(100, 1000)",5,5,0.6949152542372882,0.6949152542372882
morph-gen,False,5,"(1000,)",1,50,0.9272727272727272,0.9272727272727272
morph-gen,False,5,"(1000,)",2,38,0.9272727272727272,0.9272727272727272
morph-gen,False,5,"(1000,)",3,21,0.9272727272727272,0.9272727272727272
morph-gen,False,5,"(1000,)",4,1,0.9272727272727272,0.9272727272727272
morph-disc,False,3,"(0, 10)",4,6,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",5,26,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",6,40,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",7,49,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",8,37,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",9,5,0.9877300613496932,1.0
morph-disc,False,3,"(10, 100)",2,1,0.9666666666666667,1.0
morph-disc,False,3,"(10, 100)",3,4,0.9666666666666667,1.0
morph-disc,False,3,"(10, 100)",4,25,0.9666666666666667,1.0
morph-disc,False,3,"(10, 100)",5,19,0.9666666666666667,1.0
morph-disc,False,3,"(10, 100)",6,10,0.9666666666666667,1.0
morph-disc,False,3,"(10, 100)",7,1,0.9666666666666667,1.0
morph-disc,False,3,"(100, 1000)",2,11,1.0,1.0
morph-disc,False,3,"(100, 1000)",3,25,1.0,1.0
morph-disc,False,3,"(100, 1000)",4,18,1.0,1.0
morph-disc,False,3,"(100, 1000)",5,5,1.0,1.0
morph-disc,False,3,"(1000,)",1,50,1.0,1.0
morph-disc,False,3,"(1000,)",2,38,1.0,1.0
morph-disc,False,3,"(1000,)",3,21,1.0,1.0
morph-disc,False,3,"(1000,)",4,1,1.0,1.0
morph-disc,True,1,"(0, 10)",4,6,0.950920245398773,1.0
morph-disc,True,1,"(0, 10)",5,26,0.950920245398773,1.0
morph-disc,True,1,"(0, 10)",6,40,0.950920245398773,1.0
morph-disc,True,1,"(0, 10)",7,49,0.950920245398773,1.0
morph-disc,True,1,"(0, 10)",8,37,0.950920245398773,1.0
morph-disc,True,1,"(0, 10)",9,5,0.950920245398773,1.0
morph-disc,True,1,"(10, 100)",2,1,0.8666666666666667,1.0
morph-disc,True,1,"(10, 100)",3,4,0.8666666666666667,1.0
morph-disc,True,1,"(10, 100)",4,25,0.8666666666666667,1.0
morph-disc,True,1,"(10, 100)",5,19,0.8666666666666667,1.0
morph-disc,True,1,"(10, 100)",6,10,0.8666666666666667,1.0
morph-disc,True,1,"(10, 100)",7,1,0.8666666666666667,1.0
morph-disc,True,1,"(100, 1000)",2,11,0.847457627118644,1.0
morph-disc,True,1,"(100, 1000)",3,25,0.847457627118644,1.0
morph-disc,True,1,"(100, 1000)",4,18,0.847457627118644,1.0
morph-disc,True,1,"(100, 1000)",5,5,0.847457627118644,1.0
morph-disc,True,1,"(1000,)",1,50,0.9454545454545454,1.0
morph-disc,True,1,"(1000,)",2,38,0.9454545454545454,1.0
morph-disc,True,1,"(1000,)",3,21,0.9454545454545454,1.0
morph-disc,True,1,"(1000,)",4,1,0.9454545454545454,1.0
morph-disc,False,1,"(0, 10)",4,6,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(0, 10)",5,26,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(0, 10)",6,40,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(0, 10)",7,49,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(0, 10)",8,37,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(0, 10)",9,5,0.9815950920245399,0.9815950920245399
morph-disc,False,1,"(10, 100)",2,1,0.9833333333333333,1.0
morph-disc,False,1,"(10, 100)",3,4,0.9833333333333333,1.0
morph-disc,False,1,"(10, 100)",4,25,0.9833333333333333,1.0
morph-disc,False,1,"(10, 100)",5,19,0.9833333333333333,1.0
morph-disc,False,1,"(10, 100)",6,10,0.9833333333333333,1.0
morph-disc,False,1,"(10, 100)",7,1,0.9833333333333333,1.0
morph-disc,False,1,"(100, 1000)",2,11,0.9491525423728814,1.0
morph-disc,False,1,"(100, 1000)",3,25,0.9491525423728814,1.0
morph-disc,False,1,"(100, 1000)",4,18,0.9491525423728814,1.0
morph-disc,False,1,"(100, 1000)",5,5,0.9491525423728814,1.0
morph-disc,False,1,"(1000,)",1,50,1.0,1.0
morph-disc,False,1,"(1000,)",2,38,1.0,1.0
morph-disc,False,1,"(1000,)",3,21,1.0,1.0
morph-disc,False,1,"(1000,)",4,1,1.0,1.0
morph-gen,False,1,"(0, 10)",4,6,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(0, 10)",5,26,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(0, 10)",6,40,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(0, 10)",7,49,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(0, 10)",8,37,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(0, 10)",9,5,0.26380368098159507,0.27607361963190186
morph-gen,False,1,"(10, 100)",2,1,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(10, 100)",3,4,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(10, 100)",4,25,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(10, 100)",5,19,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(10, 100)",6,10,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(10, 100)",7,1,0.5166666666666667,0.5666666666666667
morph-gen,False,1,"(100, 1000)",2,11,0.7796610169491526,0.7966101694915254
morph-gen,False,1,"(100, 1000)",3,25,0.7796610169491526,0.7966101694915254
morph-gen,False,1,"(100, 1000)",4,18,0.7796610169491526,0.7966101694915254
morph-gen,False,1,"(100, 1000)",5,5,0.7796610169491526,0.7966101694915254
morph-gen,False,1,"(1000,)",1,50,0.9545454545454546,0.9545454545454546
morph-gen,False,1,"(1000,)",2,38,0.9545454545454546,0.9545454545454546
morph-gen,False,1,"(1000,)",3,21,0.9545454545454546,0.9545454545454546
