task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,5,"(0, 10)",4,8,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(0, 10)",5,31,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(0, 10)",6,43,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(0, 10)",7,50,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(0, 10)",8,37,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(0, 10)",9,5,0.29310344827586204,0.3045977011494253
morph-gen,False,5,"(10, 100)",2,2,0.5694444444444444,0.5972222222222222
morph-gen,False,5,"(10, 100)",3,15,0.5694444444444444,0.5972222222222222
morph-gen,False,5,"(10, 100)",4,31,0.5694444444444444,0.5972222222222222
morph-gen,False,5,"(10, 100)",5,17,0.5694444444444444,0.5972222222222222
morph-gen,False,5,"(10, 100)",6,7,0.5694444444444444,0.5972222222222222
morph-gen,False,5,"(100, 1000)",1,6,0.7254901960784313,0.7254901960784313
morph-gen,False,5,"(100, 1000)",2,14,0.7254901960784313,0.7254901960784313
morph-gen,False,5,"(100, 1000)",3,18,0.7254901960784313,0.7254901960784313
morph-gen,False,5,"(100, 1000)",4,11,0.7254901960784313,0.7254901960784313
morph-gen,False,5,"(100, 1000)",5,2,0.7254901960784313,0.7254901960784313
morph-gen,False,5,"(1000,)",1,44,0.9157894736842105,0.9157894736842105
morph-gen,False,5,"(1000,)",2,34,0.9157894736842105,0.9157894736842105
morph-gen,False,5,"(1000,)",3,17,0.9157894736842105,0.9157894736842105
morph-disc,False,3,"(0, 10)",4,8,0.9885057471264368,1.0
morph-disc,False,3,"(0, 10)",5,31,0.9885057471264368,1.0
morph-disc,False,3,"(0, 10)",6,43,0.9885057471264368,1.0
morph-disc,False,3,"(0, 10)",7,50,0.9885057471264368,1.0
morph-disc,False,3,"(0, 10)",8,37,0.9885057471264368,1.0
morph-disc,False,3,"(0, 10)",9,5,0.9885057471264368,1.0
morph-disc,False,3,"(10, 100)",2,2,0.9722222222222222,1.0
morph-disc,False,3,"(10, 100)",3,15,0.9722222222222222,1.0
morph-disc,False,3,"(10, 100)",4,31,0.9722222222222222,1.0
morph-disc,False,3,"(10, 100)",5,17,0.9722222222222222,1.0
morph-disc,False,3,"(10, 100)",6,7,0.9722222222222222,1.0
morph-disc,False,3,"(100, 1000)",1,6,1.0,1.0
morph-disc,False,3,"(100, 1000)",2,14,1.0,1.0
morph-disc,False,3,"(100, 1000)",3,18,1.0,1.0
morph-disc,False,3,"(100, 1000)",4,11,1.0,1.0
