language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_gen_tr,gpt-4,morph-gen,True,1,1,0.9733333333333334,0.9733333333333334,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,2,0.7133333333333334,0.8266666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,3,0.4788732394366197,0.5985915492957746,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,4,0.22602739726027396,0.3424657534246575,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,5,0.16901408450704225,0.2887323943661972,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,6,0.05333333333333334,0.08666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,1,7,0.040268456375838924,0.06040268456375839,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,1,0.96,0.96,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,2,0.7,0.88,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,3,0.5144927536231884,0.6811594202898551,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,4,0.3,0.44666666666666666,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,5,0.15492957746478872,0.2887323943661972,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,6,0.1,0.14666666666666667,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,gpt-4,morph-gen,True,5,7,0.07586206896551724,0.12413793103448276,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,1,0.6633333333333333,0.0,0.5666666666666667,0.37333333333333335,0.5366666666666666,0.4444444444444444,0.26,0.5,0.3333333333333333,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,2,0.7290969899665551,0.0,0.6377777777777778,0.46,0.5484949832775919,0.4577777777777778,0.2733333333333333,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,3,0.8912751677852349,0.0,0.8170185185185185,0.5533333333333333,0.4791946308724832,0.4044365079365079,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,4,0.8893333333333333,0.0,0.8104497354497354,0.5533333333333333,0.4746666666666667,0.41963227513227513,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,5,0.888,0.0,0.8338650793650794,0.5533333333333333,0.476,0.4019047619047619,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,6,0.8893333333333333,0.0,0.8148518518518518,0.5466666666666666,0.49733333333333335,0.4254417989417989,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_tr,gpt-4,morph-disc,True,5,7,0.8939597315436242,0.0,0.8392058165548099,0.5637583892617449,0.48590604026845635,0.4089085969958453,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_disc_tr,gpt-4,morph-disc,False,5,1,0.93,0.0,0.9066666666666666,0.86,0.4666666666666667,0.3844444444444444,0.22,0.5,0.3333333333333333,0
