language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,1,0.8507462686567164,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,2,0.54,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,3,0.36,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,4,0.12666666666666668,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,5,0.07333333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,6,0.006666666666666667,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,True,0,7,0.020134228187919462,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,1,0.971830985915493,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,2,0.6643835616438356,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,3,0.5133333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,4,0.2733333333333333,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,5,0.16,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,6,0.05333333333333334,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_cot_tr,gpt-4,morph-gen,False,0,7,0.020134228187919462,0.0,0,0,0.0,0,0,0.0,0,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,1,0.6433333333333333,0.0,0.5666666666666667,0.41333333333333333,0.51,0.41777777777777775,0.23333333333333334,0.5,0.3333333333333333,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,2,0.7190635451505016,0.0,0.6488888888888888,0.5133333333333333,0.5117056856187291,0.4288888888888889,0.26,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,3,0.7838926174496644,0.0,0.6798174603174603,0.28,0.4885906040268456,0.41747089947089944,0.04666666666666667,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,4,0.8026666666666666,0.0,0.6893756613756613,0.36,0.49066666666666664,0.426031746031746,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,5,0.7573333333333333,0.0,0.6108862433862434,0.24,0.536,0.4486798941798942,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,6,0.76,0.0,0.6160449735449736,0.22,0.5013333333333333,0.4353201058201058,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,True,0,7,0.7597315436241611,0.0,0.6593107489080643,0.2953020134228188,0.4966442953020134,0.41883722168957066,0.03355704697986577,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,1,0.8966666666666666,0.0,0.8622222222222222,0.7933333333333333,0.5033333333333333,0.42666666666666664,0.2733333333333333,0.5,0.3333333333333333,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,2,0.8695652173913043,0.0,0.8377777777777777,0.7733333333333333,0.5652173913043478,0.5022222222222222,0.37333333333333335,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,3,0.9194630872483222,0.0,0.8614285714285714,0.6533333333333333,0.4912751677852349,0.40884656084656085,0.013333333333333334,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,4,0.8973333333333333,0.0,0.8141878306878306,0.5933333333333334,0.5013333333333333,0.4140608465608465,0.04,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,5,0.8613333333333333,0.0,0.7578386243386244,0.44666666666666666,0.5293333333333333,0.45340476190476187,0.02,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,6,0.8293333333333334,0.0,0.7314179894179894,0.41333333333333333,0.452,0.39305291005291004,0.02,0.8,0.4444444444444444,0
tr,morph_disc_cot_tr,gpt-4,morph-disc,False,0,7,0.8040268456375839,0.0,0.7270240758495792,0.348993288590604,0.4429530201342282,0.38420688185788854,0,0.8,0.4444444444444444,0
