task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,5,"(0, 10)",4,6,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(0, 10)",5,26,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(0, 10)",6,40,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(0, 10)",7,49,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(0, 10)",8,37,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(0, 10)",9,5,0.12883435582822086,0.17791411042944785
morph-gen,True,5,"(10, 100)",2,1,0.35,0.4666666666666667
morph-gen,True,5,"(10, 100)",3,4,0.35,0.4666666666666667
morph-gen,True,5,"(10, 100)",4,25,0.35,0.4666666666666667
morph-gen,True,5,"(10, 100)",5,19,0.35,0.4666666666666667
morph-gen,True,5,"(10, 100)",6,10,0.35,0.4666666666666667
morph-gen,True,5,"(10, 100)",7,1,0.35,0.4666666666666667
morph-gen,True,5,"(100, 1000)",2,11,0.5423728813559322,0.6271186440677966
morph-gen,True,5,"(100, 1000)",3,25,0.5423728813559322,0.6271186440677966
morph-gen,True,5,"(100, 1000)",4,18,0.5423728813559322,0.6271186440677966
morph-gen,True,5,"(100, 1000)",5,5,0.5423728813559322,0.6271186440677966
morph-gen,True,5,"(1000,)",1,50,0.8727272727272727,0.9090909090909091
morph-gen,True,5,"(1000,)",2,38,0.8727272727272727,0.9090909090909091
morph-gen,True,5,"(1000,)",3,21,0.8727272727272727,0.9090909090909091
morph-gen,True,5,"(1000,)",4,1,0.8727272727272727,0.9090909090909091
morph-disc,True,5,"(0, 10)",4,6,0.901840490797546,1.0
morph-disc,True,5,"(0, 10)",5,26,0.901840490797546,1.0
morph-disc,True,5,"(0, 10)",6,40,0.901840490797546,1.0
morph-disc,True,5,"(0, 10)",7,49,0.901840490797546,1.0
morph-disc,True,5,"(0, 10)",8,37,0.901840490797546,1.0
morph-disc,True,5,"(0, 10)",9,5,0.901840490797546,1.0
morph-disc,True,5,"(10, 100)",2,1,0.8333333333333334,1.0
morph-disc,True,5,"(10, 100)",3,4,0.8333333333333334,1.0
morph-disc,True,5,"(10, 100)",4,25,0.8333333333333334,1.0
morph-disc,True,5,"(10, 100)",5,19,0.8333333333333334,1.0
morph-disc,True,5,"(10, 100)",6,10,0.8333333333333334,1.0
morph-disc,True,5,"(10, 100)",7,1,0.8333333333333334,1.0
morph-disc,True,5,"(100, 1000)",2,11,0.7627118644067796,1.0
morph-disc,True,5,"(100, 1000)",3,25,0.7627118644067796,1.0
morph-disc,True,5,"(100, 1000)",4,18,0.7627118644067796,1.0
morph-disc,True,5,"(100, 1000)",5,5,0.7627118644067796,1.0
morph-disc,True,5,"(1000,)",1,50,0.9545454545454546,1.0
morph-disc,True,5,"(1000,)",2,38,0.9545454545454546,1.0
morph-disc,True,5,"(1000,)",3,21,0.9545454545454546,1.0
morph-disc,True,5,"(1000,)",4,1,0.9545454545454546,1.0
morph-disc,False,1,"(0, 10)",4,6,0.9815950920245399,1.0
morph-disc,False,1,"(0, 10)",5,26,0.9815950920245399,1.0
morph-disc,False,1,"(0, 10)",6,40,0.9815950920245399,1.0
morph-disc,False,1,"(0, 10)",7,49,0.9815950920245399,1.0
morph-disc,False,1,"(0, 10)",8,37,0.9815950920245399,1.0
morph-disc,False,1,"(0, 10)",9,5,0.9815950920245399,1.0
morph-disc,False,1,"(10, 100)",2,1,0.95,1.0
morph-disc,False,1,"(10, 100)",3,4,0.95,1.0
morph-disc,False,1,"(10, 100)",4,25,0.95,1.0
morph-disc,False,1,"(10, 100)",5,19,0.95,1.0
morph-disc,False,1,"(10, 100)",6,10,0.95,1.0
morph-disc,False,1,"(10, 100)",7,1,0.95,1.0
morph-disc,False,1,"(100, 1000)",2,11,0.8983050847457628,1.0
morph-disc,False,1,"(100, 1000)",3,25,0.8983050847457628,1.0
morph-disc,False,1,"(100, 1000)",4,18,0.8983050847457628,1.0
morph-disc,False,1,"(100, 1000)",5,5,0.8983050847457628,1.0
morph-disc,False,1,"(1000,)",1,50,0.9818181818181818,0.990909090909091
morph-disc,False,1,"(1000,)",2,38,0.9818181818181818,0.990909090909091
morph-disc,False,1,"(1000,)",3,21,0.9818181818181818,0.990909090909091
