task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,5,"(0, 10)",4,6,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(0, 10)",5,26,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(0, 10)",6,40,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(0, 10)",7,49,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(0, 10)",8,37,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(0, 10)",9,5,0.2331288343558282,0.2331288343558282
morph-gen,False,5,"(10, 100)",2,1,0.43333333333333335,0.45
morph-gen,False,5,"(10, 100)",3,4,0.43333333333333335,0.45
morph-gen,False,5,"(10, 100)",4,25,0.43333333333333335,0.45
morph-gen,False,5,"(10, 100)",5,19,0.43333333333333335,0.45
morph-gen,False,5,"(10, 100)",6,10,0.43333333333333335,0.45
morph-gen,False,5,"(10, 100)",7,1,0.43333333333333335,0.45
morph-gen,False,5,"(100, 1000)",2,11,0.6101694915254238,0.6101694915254238
morph-gen,False,5,"(100, 1000)",3,25,0.6101694915254238,0.6101694915254238
morph-gen,False,5,"(100, 1000)",4,18,0.6101694915254238,0.6101694915254238
morph-gen,False,5,"(100, 1000)",5,5,0.6101694915254238,0.6101694915254238
morph-gen,False,5,"(1000,)",1,50,0.9181818181818182,0.9181818181818182
morph-gen,False,5,"(1000,)",2,38,0.9181818181818182,0.9181818181818182
morph-gen,False,5,"(1000,)",3,21,0.9181818181818182,0.9181818181818182
morph-gen,False,5,"(1000,)",4,1,0.9181818181818182,0.9181818181818182
morph-gen,True,3,"(0, 10)",4,6,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(0, 10)",5,26,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(0, 10)",6,40,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(0, 10)",7,49,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(0, 10)",8,37,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(0, 10)",9,5,0.11042944785276074,0.1165644171779141
morph-gen,True,3,"(10, 100)",2,1,0.2833333333333333,0.3
morph-gen,True,3,"(10, 100)",3,4,0.2833333333333333,0.3
morph-gen,True,3,"(10, 100)",4,25,0.2833333333333333,0.3
morph-gen,True,3,"(10, 100)",5,19,0.2833333333333333,0.3
morph-gen,True,3,"(10, 100)",6,10,0.2833333333333333,0.3
morph-gen,True,3,"(10, 100)",7,1,0.2833333333333333,0.3
morph-gen,True,3,"(100, 1000)",2,11,0.3728813559322034,0.423728813559322
