task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,5,"(0, 10)",4,8,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(0, 10)",5,31,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(0, 10)",6,43,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(0, 10)",7,50,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(0, 10)",8,37,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(0, 10)",9,5,0.22413793103448276,0.22413793103448276
morph-gen,False,5,"(10, 100)",2,2,0.5833333333333334,0.5972222222222222
morph-gen,False,5,"(10, 100)",3,15,0.5833333333333334,0.5972222222222222
morph-gen,False,5,"(10, 100)",4,31,0.5833333333333334,0.5972222222222222
morph-gen,False,5,"(10, 100)",5,17,0.5833333333333334,0.5972222222222222
morph-gen,False,5,"(10, 100)",6,7,0.5833333333333334,0.5972222222222222
morph-gen,False,5,"(100, 1000)",1,6,0.6470588235294118,0.6470588235294118
morph-gen,False,5,"(100, 1000)",2,14,0.6470588235294118,0.6470588235294118
morph-gen,False,5,"(100, 1000)",3,18,0.6470588235294118,0.6470588235294118
morph-gen,False,5,"(100, 1000)",4,11,0.6470588235294118,0.6470588235294118
morph-gen,False,5,"(100, 1000)",5,2,0.6470588235294118,0.6470588235294118
morph-gen,False,5,"(1000,)",1,44,0.9157894736842105,0.9157894736842105
morph-gen,False,5,"(1000,)",2,34,0.9157894736842105,0.9157894736842105
morph-gen,False,5,"(1000,)",3,17,0.9157894736842105,0.9157894736842105
morph-gen,True,3,"(0, 10)",4,8,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(0, 10)",5,31,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(0, 10)",6,43,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(0, 10)",7,50,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(0, 10)",8,37,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(0, 10)",9,5,0.1206896551724138,0.12643678160919541
morph-gen,True,3,"(10, 100)",2,2,0.3333333333333333,0.3472222222222222
morph-gen,True,3,"(10, 100)",3,15,0.3333333333333333,0.3472222222222222
morph-gen,True,3,"(10, 100)",4,31,0.3333333333333333,0.3472222222222222
morph-gen,True,3,"(10, 100)",5,17,0.3333333333333333,0.3472222222222222
morph-gen,True,3,"(10, 100)",6,7,0.3333333333333333,0.3472222222222222
morph-gen,True,3,"(100, 1000)",1,6,0.49019607843137253,0.5490196078431373
morph-gen,True,3,"(100, 1000)",2,14,0.49019607843137253,0.5490196078431373
morph-gen,True,3,"(100, 1000)",3,18,0.49019607843137253,0.5490196078431373
morph-gen,True,3,"(100, 1000)",4,11,0.49019607843137253,0.5490196078431373
morph-gen,True,3,"(100, 1000)",5,2,0.49019607843137253,0.5490196078431373
morph-gen,True,3,"(1000,)",1,44,0.8,0.8210526315789474
morph-gen,True,3,"(1000,)",2,34,0.8,0.8210526315789474
morph-gen,True,3,"(1000,)",3,17,0.8,0.8210526315789474
morph-disc,True,3,"(0, 10)",4,8,0.9655172413793104,1.0
morph-disc,True,3,"(0, 10)",5,31,0.9655172413793104,1.0
morph-disc,True,3,"(0, 10)",6,43,0.9655172413793104,1.0
morph-disc,True,3,"(0, 10)",7,50,0.9655172413793104,1.0
morph-disc,True,3,"(0, 10)",8,37,0.9655172413793104,1.0
morph-disc,True,3,"(0, 10)",9,5,0.9655172413793104,1.0
morph-disc,True,3,"(10, 100)",2,2,0.8194444444444444,1.0
morph-disc,True,3,"(10, 100)",3,15,0.8194444444444444,1.0
morph-disc,True,3,"(10, 100)",4,31,0.8194444444444444,1.0
morph-disc,True,3,"(10, 100)",5,17,0.8194444444444444,1.0
morph-disc,True,3,"(10, 100)",6,7,0.8194444444444444,1.0
morph-disc,True,3,"(100, 1000)",1,6,0.8627450980392157,1.0
