task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-disc,False,1,1,0.9838709677419355,0.9838709677419355
morph-disc,False,1,2,0.9833333333333333,1.0
morph-disc,False,1,3,0.6833333333333333,1.0
morph-disc,False,1,4,0.9743589743589743,1.0
morph-disc,False,1,5,0.9122807017543859,1.0
morph-disc,False,1,6,0.9423076923076923,1.0
morph-disc,False,1,7,0.90625,1.0
morph-disc,False,1,8,1.0,1.0
morph-disc,False,1,9,1.0,1.0
morph-disc,False,1,10,0.5,1.0
morph-gen,False,5,1,0.967741935483871,0.967741935483871
morph-gen,False,5,2,0.75,0.7666666666666667
morph-gen,False,5,3,0.6666666666666666,0.7333333333333333
morph-gen,False,5,4,0.6410256410256411,0.717948717948718
morph-gen,False,5,5,0.45614035087719296,0.47368421052631576
morph-gen,False,5,6,0.28846153846153844,0.28846153846153844
morph-gen,False,5,7,0.375,0.375
morph-gen,False,5,8,0.23809523809523808,0.23809523809523808
morph-gen,False,5,9,0.3333333333333333,0.3333333333333333
morph-gen,False,5,10,0.0,0.0
morph-gen,False,3,1,0.9516129032258065,0.9516129032258065
morph-gen,False,3,2,0.8,0.8
morph-gen,False,3,3,0.7166666666666667,0.7833333333333333
morph-gen,False,3,4,0.6923076923076923,0.6923076923076923
morph-gen,False,3,5,0.543859649122807,0.5614035087719298
morph-gen,False,3,6,0.3269230769230769,0.34615384615384615
morph-gen,False,3,7,0.25,0.28125
morph-gen,False,3,8,0.09523809523809523,0.09523809523809523
morph-gen,False,3,9,0.3333333333333333,0.3333333333333333
morph-gen,False,3,10,0.0,0.0
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,0.95,1.0
morph-disc,False,5,3,0.8333333333333334,1.0
morph-disc,False,5,4,0.8974358974358975,1.0
morph-disc,False,5,5,0.8421052631578947,1.0
morph-disc,False,5,6,0.9807692307692307,1.0
morph-disc,False,5,7,0.96875,1.0
morph-disc,False,5,8,0.8095238095238095,1.0
morph-disc,False,5,9,1.0,1.0
morph-disc,False,5,10,0.5,1.0
morph-gen,False,1,1,0.9838709677419355,0.9838709677419355
morph-gen,False,1,2,0.8333333333333334,0.8333333333333334
morph-gen,False,1,3,0.6166666666666667,0.6833333333333333
morph-gen,False,1,4,0.5384615384615384,0.6153846153846154
morph-gen,False,1,5,0.40350877192982454,0.43859649122807015
morph-gen,False,1,6,0.3076923076923077,0.3269230769230769
morph-gen,False,1,7,0.25,0.28125
morph-gen,False,1,8,0.14285714285714285,0.14285714285714285
morph-gen,False,1,9,0.16666666666666666,0.16666666666666666
morph-gen,False,1,10,0.0,0.0
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,1.0,1.0
morph-disc,False,3,3,0.8333333333333334,1.0
morph-disc,False,3,4,0.9230769230769231,1.0
morph-disc,False,3,5,0.9298245614035088,1.0
morph-disc,False,3,6,1.0,1.0
morph-disc,False,3,7,0.9375,1.0
morph-disc,False,3,8,0.8571428571428571,1.0
morph-disc,False,3,9,1.0,1.0
morph-disc,False,3,10,1.0,1.0
