task,is_ood,num_shots,num_suffixes,accuracy,faithfulness
morph-gen,False,3,1,0.9347826086956522,0.8695652173913043
morph-gen,False,3,2,0.9148936170212766,0.9148936170212766
morph-gen,False,3,3,0.7083333333333334,0.7291666666666666
morph-gen,False,3,4,0.6938775510204082,0.6938775510204082
morph-gen,False,3,5,0.7906976744186046,0.7906976744186046
morph-gen,False,3,6,0.875,0.875
morph-disc,False,5,1,1.0,1.0
morph-disc,False,5,2,1.0,1.0
morph-disc,False,5,3,1.0,1.0
morph-disc,False,5,4,1.0,1.0
morph-disc,False,5,5,1.0,1.0
morph-disc,False,5,6,1.0,1.0
morph-disc,True,3,1,0.9130434782608695,0.9130434782608695
morph-disc,True,3,2,0.9787234042553191,1.0
morph-disc,True,3,3,0.8541666666666666,1.0
morph-disc,True,3,4,0.9795918367346939,1.0
morph-disc,True,3,5,0.9772727272727273,1.0
morph-disc,True,3,6,1.0,1.0
morph-disc,True,5,1,0.9347826086956522,0.9347826086956522
morph-disc,True,5,2,0.9787234042553191,1.0
morph-disc,True,5,3,0.875,1.0
morph-disc,True,5,4,0.9387755102040817,1.0
morph-disc,True,5,5,0.9772727272727273,0.9772727272727273
morph-disc,True,5,6,1.0,1.0
morph-gen,True,1,1,0.9565217391304348,0.9565217391304348
morph-gen,True,1,2,0.8297872340425532,0.8723404255319149
morph-gen,True,1,3,0.4375,0.5416666666666666
morph-gen,True,1,4,0.4791666666666667,0.6041666666666666
morph-gen,True,1,5,0.1590909090909091,0.22727272727272727
morph-gen,True,1,6,0.0,0.0
morph-gen,True,5,1,0.9782608695652174,0.9782608695652174
morph-gen,True,5,2,0.8723404255319149,0.8936170212765957
morph-gen,True,5,3,0.4791666666666667,0.5833333333333334
morph-gen,True,5,4,0.5714285714285714,0.5918367346938775
morph-gen,True,5,5,0.36363636363636365,0.36363636363636365
morph-gen,True,5,6,0.5,0.5
morph-disc,True,1,1,0.9782608695652174,0.9782608695652174
morph-disc,True,1,2,0.9574468085106383,1.0
morph-disc,True,1,3,0.875,1.0
morph-disc,True,1,4,0.9591836734693877,1.0
morph-disc,True,1,5,0.9545454545454546,1.0
morph-disc,True,1,6,1.0,1.0
morph-gen,False,1,1,0.9130434782608695,0.8260869565217391
morph-gen,False,1,2,0.9148936170212766,0.9361702127659575
morph-gen,False,1,3,0.6458333333333334,0.6666666666666666
morph-gen,False,1,4,0.6326530612244898,0.6326530612244898
morph-gen,False,1,5,0.5454545454545454,0.5454545454545454
morph-gen,False,1,6,0.75,0.75
morph-disc,False,1,1,1.0,1.0
morph-disc,False,1,2,1.0,1.0
morph-disc,False,1,3,1.0,1.0
morph-disc,False,1,4,0.9591836734693877,1.0
morph-disc,False,1,5,1.0,1.0
morph-disc,False,1,6,1.0,1.0
morph-gen,False,5,1,0.9347826086956522,0.8478260869565217
morph-gen,False,5,2,0.9361702127659575,0.9361702127659575
morph-gen,False,5,3,0.7083333333333334,0.7083333333333334
morph-gen,False,5,4,0.7346938775510204,0.7346938775510204
morph-gen,False,5,5,0.75,0.75
morph-gen,False,5,6,0.875,0.875
morph-gen,True,3,1,0.9347826086956522,0.9130434782608695
morph-gen,True,3,2,0.8723404255319149,0.8936170212765957
morph-gen,True,3,3,0.4375,0.5416666666666666
morph-gen,True,3,4,0.5510204081632653,0.5714285714285714
morph-gen,True,3,5,0.3181818181818182,0.3409090909090909
morph-gen,True,3,6,0.25,0.25
morph-disc,False,3,1,1.0,1.0
morph-disc,False,3,2,1.0,1.0
morph-disc,False,3,3,1.0,1.0
morph-disc,False,3,4,1.0,1.0
morph-disc,False,3,5,1.0,1.0
morph-disc,False,3,6,1.0,1.0
