task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,3,"(0, 10)",1,1,0.780952380952381,0.780952380952381
morph-gen,False,3,"(0, 10)",2,7,0.780952380952381,0.780952380952381
morph-gen,False,3,"(0, 10)",3,11,0.780952380952381,0.780952380952381
morph-gen,False,3,"(0, 10)",4,37,0.780952380952381,0.780952380952381
morph-gen,False,3,"(0, 10)",5,41,0.780952380952381,0.780952380952381
morph-gen,False,3,"(0, 10)",6,8,0.780952380952381,0.780952380952381
morph-gen,False,3,"(10, 100)",1,1,0.627906976744186,0.627906976744186
morph-gen,False,3,"(10, 100)",2,3,0.627906976744186,0.627906976744186
morph-gen,False,3,"(10, 100)",3,25,0.627906976744186,0.627906976744186
morph-gen,False,3,"(10, 100)",4,12,0.627906976744186,0.627906976744186
morph-gen,False,3,"(10, 100)",5,2,0.627906976744186,0.627906976744186
morph-gen,False,3,"(100, 1000)",1,4,0.875,0.875
morph-gen,False,3,"(100, 1000)",2,17,0.875,0.875
morph-gen,False,3,"(100, 1000)",3,11,0.875,0.875
morph-gen,False,3,"(1000,)",1,40,0.9508196721311475,0.9180327868852459
morph-gen,False,3,"(1000,)",2,20,0.9508196721311475,0.9180327868852459
morph-gen,False,3,"(1000,)",3,1,0.9508196721311475,0.9180327868852459
morph-disc,False,5,"(0, 10)",1,1,1.0,1.0
morph-disc,False,5,"(0, 10)",2,7,1.0,1.0
morph-disc,False,5,"(0, 10)",3,11,1.0,1.0
morph-disc,False,5,"(0, 10)",4,37,1.0,1.0
morph-disc,False,5,"(0, 10)",5,42,1.0,1.0
morph-disc,False,5,"(0, 10)",6,8,1.0,1.0
morph-disc,False,5,"(10, 100)",1,1,1.0,1.0
morph-disc,False,5,"(10, 100)",2,3,1.0,1.0
morph-disc,False,5,"(10, 100)",3,25,1.0,1.0
morph-disc,False,5,"(10, 100)",4,12,1.0,1.0
morph-disc,False,5,"(10, 100)",5,2,1.0,1.0
morph-disc,False,5,"(100, 1000)",1,4,1.0,1.0
morph-disc,False,5,"(100, 1000)",2,17,1.0,1.0
morph-disc,False,5,"(100, 1000)",3,11,1.0,1.0
morph-disc,False,5,"(1000,)",1,40,1.0,1.0
morph-disc,False,5,"(1000,)",2,20,1.0,1.0
morph-disc,False,5,"(1000,)",3,1,1.0,1.0
morph-disc,True,3,"(0, 10)",1,1,0.9528301886792453,1.0
morph-disc,True,3,"(0, 10)",2,7,0.9528301886792453,1.0
morph-disc,True,3,"(0, 10)",3,11,0.9528301886792453,1.0
morph-disc,True,3,"(0, 10)",4,37,0.9528301886792453,1.0
morph-disc,True,3,"(0, 10)",5,42,0.9528301886792453,1.0
morph-disc,True,3,"(0, 10)",6,8,0.9528301886792453,1.0
morph-disc,True,3,"(10, 100)",1,1,0.9302325581395349,1.0
morph-disc,True,3,"(10, 100)",2,3,0.9302325581395349,1.0
morph-disc,True,3,"(10, 100)",3,25,0.9302325581395349,1.0
morph-disc,True,3,"(10, 100)",4,12,0.9302325581395349,1.0
morph-disc,True,3,"(10, 100)",5,2,0.9302325581395349,1.0
morph-disc,True,3,"(100, 1000)",1,4,0.90625,0.96875
morph-disc,True,3,"(100, 1000)",2,17,0.90625,0.96875
morph-disc,True,3,"(100, 1000)",3,11,0.90625,0.96875
morph-disc,True,3,"(1000,)",1,40,0.9508196721311475,0.9508196721311475
morph-disc,True,3,"(1000,)",2,20,0.9508196721311475,0.9508196721311475
morph-disc,True,3,"(1000,)",3,1,0.9508196721311475,0.9508196721311475
morph-disc,True,5,"(0, 10)",1,1,0.9528301886792453,1.0
morph-disc,True,5,"(0, 10)",2,7,0.9528301886792453,1.0
morph-disc,True,5,"(0, 10)",3,11,0.9528301886792453,1.0
morph-disc,True,5,"(0, 10)",4,37,0.9528301886792453,1.0
morph-disc,True,5,"(0, 10)",5,42,0.9528301886792453,1.0
morph-disc,True,5,"(0, 10)",6,8,0.9528301886792453,1.0
morph-disc,True,5,"(10, 100)",1,1,0.9069767441860465,0.9767441860465116
morph-disc,True,5,"(10, 100)",2,3,0.9069767441860465,0.9767441860465116
morph-disc,True,5,"(10, 100)",3,25,0.9069767441860465,0.9767441860465116
morph-disc,True,5,"(10, 100)",4,12,0.9069767441860465,0.9767441860465116
morph-disc,True,5,"(10, 100)",5,2,0.9069767441860465,0.9767441860465116
morph-disc,True,5,"(100, 1000)",1,4,0.90625,0.96875
morph-disc,True,5,"(100, 1000)",2,17,0.90625,0.96875
morph-disc,True,5,"(100, 1000)",3,11,0.90625,0.96875
morph-disc,True,5,"(1000,)",1,40,0.9672131147540983,0.9672131147540983
morph-disc,True,5,"(1000,)",2,20,0.9672131147540983,0.9672131147540983
morph-disc,True,5,"(1000,)",3,1,0.9672131147540983,0.9672131147540983
morph-gen,True,1,"(0, 10)",1,1,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(0, 10)",2,7,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(0, 10)",3,11,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(0, 10)",4,36,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(0, 10)",5,42,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(0, 10)",6,8,0.3333333333333333,0.42857142857142855
morph-gen,True,1,"(10, 100)",1,1,0.4186046511627907,0.5116279069767442
morph-gen,True,1,"(10, 100)",2,3,0.4186046511627907,0.5116279069767442
morph-gen,True,1,"(10, 100)",3,25,0.4186046511627907,0.5116279069767442
morph-gen,True,1,"(10, 100)",4,12,0.4186046511627907,0.5116279069767442
morph-gen,True,1,"(10, 100)",5,2,0.4186046511627907,0.5116279069767442
morph-gen,True,1,"(100, 1000)",1,4,0.78125,0.84375
morph-gen,True,1,"(100, 1000)",2,17,0.78125,0.84375
morph-gen,True,1,"(100, 1000)",3,11,0.78125,0.84375
morph-gen,True,1,"(1000,)",1,40,0.9180327868852459,0.9180327868852459
morph-gen,True,1,"(1000,)",2,20,0.9180327868852459,0.9180327868852459
morph-gen,True,1,"(1000,)",3,1,0.9180327868852459,0.9180327868852459
morph-gen,True,5,"(0, 10)",1,1,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(0, 10)",2,7,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(0, 10)",3,11,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(0, 10)",4,37,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(0, 10)",5,42,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(0, 10)",6,8,0.5094339622641509,0.5283018867924528
morph-gen,True,5,"(10, 100)",1,1,0.3953488372093023,0.46511627906976744
morph-gen,True,5,"(10, 100)",2,3,0.3953488372093023,0.46511627906976744
morph-gen,True,5,"(10, 100)",3,25,0.3953488372093023,0.46511627906976744
morph-gen,True,5,"(10, 100)",4,12,0.3953488372093023,0.46511627906976744
morph-gen,True,5,"(10, 100)",5,2,0.3953488372093023,0.46511627906976744
morph-gen,True,5,"(100, 1000)",1,4,0.875,0.9375
morph-gen,True,5,"(100, 1000)",2,17,0.875,0.9375
morph-gen,True,5,"(100, 1000)",3,11,0.875,0.9375
morph-gen,True,5,"(1000,)",1,40,0.9508196721311475,0.9508196721311475
morph-gen,True,5,"(1000,)",2,20,0.9508196721311475,0.9508196721311475
morph-gen,True,5,"(1000,)",3,1,0.9508196721311475,0.9508196721311475
morph-disc,True,1,"(0, 10)",1,1,0.9433962264150944,1.0
morph-disc,True,1,"(0, 10)",2,7,0.9433962264150944,1.0
morph-disc,True,1,"(0, 10)",3,11,0.9433962264150944,1.0
morph-disc,True,1,"(0, 10)",4,37,0.9433962264150944,1.0
morph-disc,True,1,"(0, 10)",5,42,0.9433962264150944,1.0
morph-disc,True,1,"(0, 10)",6,8,0.9433962264150944,1.0
morph-disc,True,1,"(10, 100)",1,1,0.8837209302325582,1.0
morph-disc,True,1,"(10, 100)",2,3,0.8837209302325582,1.0
morph-disc,True,1,"(10, 100)",3,25,0.8837209302325582,1.0
morph-disc,True,1,"(10, 100)",4,12,0.8837209302325582,1.0
morph-disc,True,1,"(10, 100)",5,2,0.8837209302325582,1.0
morph-disc,True,1,"(100, 1000)",1,4,0.96875,1.0
morph-disc,True,1,"(100, 1000)",2,17,0.96875,1.0
morph-disc,True,1,"(100, 1000)",3,11,0.96875,1.0
morph-disc,True,1,"(1000,)",1,40,0.9836065573770492,0.9836065573770492
morph-disc,True,1,"(1000,)",2,20,0.9836065573770492,0.9836065573770492
morph-disc,True,1,"(1000,)",3,1,0.9836065573770492,0.9836065573770492
morph-gen,False,1,"(0, 10)",1,1,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(0, 10)",2,7,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(0, 10)",3,11,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(0, 10)",4,37,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(0, 10)",5,42,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(0, 10)",6,8,0.6509433962264151,0.6509433962264151
morph-gen,False,1,"(10, 100)",1,1,0.6046511627906976,0.627906976744186
morph-gen,False,1,"(10, 100)",2,3,0.6046511627906976,0.627906976744186
morph-gen,False,1,"(10, 100)",3,25,0.6046511627906976,0.627906976744186
morph-gen,False,1,"(10, 100)",4,12,0.6046511627906976,0.627906976744186
morph-gen,False,1,"(10, 100)",5,2,0.6046511627906976,0.627906976744186
morph-gen,False,1,"(100, 1000)",1,4,0.8125,0.8125
morph-gen,False,1,"(100, 1000)",2,17,0.8125,0.8125
morph-gen,False,1,"(100, 1000)",3,11,0.8125,0.8125
morph-gen,False,1,"(1000,)",1,40,0.9180327868852459,0.8688524590163934
morph-gen,False,1,"(1000,)",2,20,0.9180327868852459,0.8688524590163934
morph-gen,False,1,"(1000,)",3,1,0.9180327868852459,0.8688524590163934
morph-disc,False,1,"(0, 10)",1,1,0.9811320754716981,1.0
morph-disc,False,1,"(0, 10)",2,7,0.9811320754716981,1.0
morph-disc,False,1,"(0, 10)",3,11,0.9811320754716981,1.0
morph-disc,False,1,"(0, 10)",4,37,0.9811320754716981,1.0
morph-disc,False,1,"(0, 10)",5,42,0.9811320754716981,1.0
morph-disc,False,1,"(0, 10)",6,8,0.9811320754716981,1.0
morph-disc,False,1,"(10, 100)",1,1,1.0,1.0
morph-disc,False,1,"(10, 100)",2,3,1.0,1.0
morph-disc,False,1,"(10, 100)",3,25,1.0,1.0
morph-disc,False,1,"(10, 100)",4,12,1.0,1.0
morph-disc,False,1,"(10, 100)",5,2,1.0,1.0
morph-disc,False,1,"(100, 1000)",1,4,1.0,1.0
morph-disc,False,1,"(100, 1000)",2,17,1.0,1.0
morph-disc,False,1,"(100, 1000)",3,11,1.0,1.0
morph-disc,False,1,"(1000,)",1,40,1.0,1.0
morph-disc,False,1,"(1000,)",2,20,1.0,1.0
morph-disc,False,1,"(1000,)",3,1,1.0,1.0
morph-gen,False,5,"(0, 10)",1,1,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(0, 10)",2,7,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(0, 10)",3,11,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(0, 10)",4,37,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(0, 10)",5,42,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(0, 10)",6,8,0.7735849056603774,0.7735849056603774
morph-gen,False,5,"(10, 100)",1,1,0.627906976744186,0.627906976744186
morph-gen,False,5,"(10, 100)",2,3,0.627906976744186,0.627906976744186
morph-gen,False,5,"(10, 100)",3,25,0.627906976744186,0.627906976744186
morph-gen,False,5,"(10, 100)",4,12,0.627906976744186,0.627906976744186
morph-gen,False,5,"(10, 100)",5,2,0.627906976744186,0.627906976744186
morph-gen,False,5,"(100, 1000)",1,4,0.9375,0.90625
morph-gen,False,5,"(100, 1000)",2,17,0.9375,0.90625
morph-gen,False,5,"(100, 1000)",3,11,0.9375,0.90625
morph-gen,False,5,"(1000,)",1,40,0.9508196721311475,0.9016393442622951
morph-gen,False,5,"(1000,)",2,20,0.9508196721311475,0.9016393442622951
morph-gen,False,5,"(1000,)",3,1,0.9508196721311475,0.9016393442622951
morph-gen,True,3,"(0, 10)",1,1,0.46226415094339623,0.49056603773584906
