task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-disc,True,5,"(0, 10)",1,1,0.9433962264150944,1.0
morph-disc,True,5,"(0, 10)",2,7,0.9433962264150944,1.0
morph-disc,True,5,"(0, 10)",3,11,0.9433962264150944,1.0
morph-disc,True,5,"(0, 10)",4,37,0.9433962264150944,1.0
morph-disc,True,5,"(0, 10)",5,42,0.9433962264150944,1.0
morph-disc,True,5,"(0, 10)",6,8,0.9433962264150944,1.0
morph-disc,True,5,"(10, 100)",1,1,0.8837209302325582,1.0
morph-disc,True,5,"(10, 100)",2,3,0.8837209302325582,1.0
morph-disc,True,5,"(10, 100)",3,25,0.8837209302325582,1.0
morph-disc,True,5,"(10, 100)",4,12,0.8837209302325582,1.0
morph-disc,True,5,"(10, 100)",5,2,0.8837209302325582,1.0
morph-disc,True,5,"(100, 1000)",1,4,0.96875,1.0
morph-disc,True,5,"(100, 1000)",2,17,0.96875,1.0
morph-disc,True,5,"(100, 1000)",3,11,0.96875,1.0
morph-disc,True,5,"(1000,)",1,40,0.9672131147540983,0.9836065573770492
morph-disc,True,5,"(1000,)",2,20,0.9672131147540983,0.9836065573770492
morph-disc,True,5,"(1000,)",3,1,0.9672131147540983,0.9836065573770492
morph-disc,False,5,"(0, 10)",1,1,0.9905660377358491,1.0
morph-disc,False,5,"(0, 10)",2,7,0.9905660377358491,1.0
morph-disc,False,5,"(0, 10)",3,11,0.9905660377358491,1.0
morph-disc,False,5,"(0, 10)",4,37,0.9905660377358491,1.0
morph-disc,False,5,"(0, 10)",5,42,0.9905660377358491,1.0
morph-disc,False,5,"(0, 10)",6,8,0.9905660377358491,1.0
morph-disc,False,5,"(10, 100)",1,1,1.0,1.0
morph-disc,False,5,"(10, 100)",2,3,1.0,1.0
morph-disc,False,5,"(10, 100)",3,25,1.0,1.0
morph-disc,False,5,"(10, 100)",4,12,1.0,1.0
morph-disc,False,5,"(10, 100)",5,2,1.0,1.0
morph-disc,False,5,"(100, 1000)",1,4,1.0,1.0
morph-disc,False,5,"(100, 1000)",2,17,1.0,1.0
morph-disc,False,5,"(100, 1000)",3,11,1.0,1.0
morph-disc,False,5,"(1000,)",1,40,1.0,1.0
morph-disc,False,5,"(1000,)",2,20,1.0,1.0
morph-disc,False,5,"(1000,)",3,1,1.0,1.0
morph-gen,True,5,"(0, 10)",1,1,0.5,0.5094339622641509
morph-gen,True,5,"(0, 10)",2,7,0.5,0.5094339622641509
morph-gen,True,5,"(0, 10)",3,11,0.5,0.5094339622641509
morph-gen,True,5,"(0, 10)",4,37,0.5,0.5094339622641509
morph-gen,True,5,"(0, 10)",5,42,0.5,0.5094339622641509
morph-gen,True,5,"(0, 10)",6,8,0.5,0.5094339622641509
morph-gen,True,5,"(10, 100)",1,1,0.4418604651162791,0.4418604651162791
morph-gen,True,5,"(10, 100)",2,3,0.4418604651162791,0.4418604651162791
morph-gen,True,5,"(10, 100)",3,25,0.4418604651162791,0.4418604651162791
morph-gen,True,5,"(10, 100)",4,12,0.4418604651162791,0.4418604651162791
morph-gen,True,5,"(10, 100)",5,2,0.4418604651162791,0.4418604651162791
morph-gen,True,5,"(100, 1000)",1,4,0.8125,0.875
morph-gen,True,5,"(100, 1000)",2,17,0.8125,0.875
morph-gen,True,5,"(100, 1000)",3,11,0.8125,0.875
morph-gen,True,5,"(1000,)",1,40,0.9016393442622951,0.9016393442622951
morph-gen,True,5,"(1000,)",2,20,0.9016393442622951,0.9016393442622951
morph-gen,True,5,"(1000,)",3,1,0.9016393442622951,0.9016393442622951
morph-disc,True,1,"(0, 10)",1,1,0.9528301886792453,1.0
morph-disc,True,1,"(0, 10)",2,7,0.9528301886792453,1.0
morph-disc,True,1,"(0, 10)",3,11,0.9528301886792453,1.0
morph-disc,True,1,"(0, 10)",4,37,0.9528301886792453,1.0
morph-disc,True,1,"(0, 10)",5,42,0.9528301886792453,1.0
morph-disc,True,1,"(0, 10)",6,8,0.9528301886792453,1.0
morph-disc,True,1,"(10, 100)",1,1,0.8604651162790697,1.0
morph-disc,True,1,"(10, 100)",2,3,0.8604651162790697,1.0
morph-disc,True,1,"(10, 100)",3,25,0.8604651162790697,1.0
morph-disc,True,1,"(10, 100)",4,12,0.8604651162790697,1.0
morph-disc,True,1,"(10, 100)",5,2,0.8604651162790697,1.0
morph-disc,True,1,"(100, 1000)",1,4,0.96875,1.0
morph-disc,True,1,"(100, 1000)",2,17,0.96875,1.0
morph-disc,True,1,"(100, 1000)",3,11,0.96875,1.0
morph-disc,True,1,"(1000,)",1,40,0.9672131147540983,0.9836065573770492
morph-disc,True,1,"(1000,)",2,20,0.9672131147540983,0.9836065573770492
morph-disc,True,1,"(1000,)",3,1,0.9672131147540983,0.9836065573770492
morph-gen,False,3,"(0, 10)",1,1,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(0, 10)",2,7,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(0, 10)",3,11,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(0, 10)",4,37,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(0, 10)",5,42,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(0, 10)",6,8,0.7452830188679245,0.7452830188679245
morph-gen,False,3,"(10, 100)",1,1,0.6744186046511628,0.6744186046511628
morph-gen,False,3,"(10, 100)",2,3,0.6744186046511628,0.6744186046511628
morph-gen,False,3,"(10, 100)",3,25,0.6744186046511628,0.6744186046511628
morph-gen,False,3,"(10, 100)",4,12,0.6744186046511628,0.6744186046511628
morph-gen,False,3,"(10, 100)",5,2,0.6744186046511628,0.6744186046511628
morph-gen,False,3,"(100, 1000)",1,4,0.84375,0.84375
morph-gen,False,3,"(100, 1000)",2,17,0.84375,0.84375
morph-gen,False,3,"(100, 1000)",3,11,0.84375,0.84375
morph-gen,False,3,"(1000,)",1,40,0.9508196721311475,0.9016393442622951
morph-gen,False,3,"(1000,)",2,20,0.9508196721311475,0.9016393442622951
morph-gen,False,3,"(1000,)",3,1,0.9508196721311475,0.9016393442622951
morph-gen,False,5,"(0, 10)",1,1,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(0, 10)",2,7,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(0, 10)",3,11,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(0, 10)",4,37,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(0, 10)",5,42,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(0, 10)",6,8,0.8018867924528302,0.8018867924528302
morph-gen,False,5,"(10, 100)",1,1,0.627906976744186,0.6511627906976745
morph-gen,False,5,"(10, 100)",2,3,0.627906976744186,0.6511627906976745
morph-gen,False,5,"(10, 100)",3,25,0.627906976744186,0.6511627906976745
morph-gen,False,5,"(10, 100)",4,12,0.627906976744186,0.6511627906976745
morph-gen,False,5,"(10, 100)",5,2,0.627906976744186,0.6511627906976745
morph-gen,False,5,"(100, 1000)",1,4,0.90625,0.875
morph-gen,False,5,"(100, 1000)",2,17,0.90625,0.875
morph-gen,False,5,"(100, 1000)",3,11,0.90625,0.875
morph-gen,False,5,"(1000,)",1,40,0.9672131147540983,0.9180327868852459
morph-gen,False,5,"(1000,)",2,20,0.9672131147540983,0.9180327868852459
morph-gen,False,5,"(1000,)",3,1,0.9672131147540983,0.9180327868852459
morph-gen,True,1,"(0, 10)",1,1,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(0, 10)",2,7,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(0, 10)",3,11,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(0, 10)",4,37,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(0, 10)",5,42,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(0, 10)",6,8,0.330188679245283,0.3584905660377358
morph-gen,True,1,"(10, 100)",1,1,0.27906976744186046,0.3023255813953488
morph-gen,True,1,"(10, 100)",2,3,0.27906976744186046,0.3023255813953488
morph-gen,True,1,"(10, 100)",3,25,0.27906976744186046,0.3023255813953488
morph-gen,True,1,"(10, 100)",4,12,0.27906976744186046,0.3023255813953488
morph-gen,True,1,"(10, 100)",5,2,0.27906976744186046,0.3023255813953488
morph-gen,True,1,"(100, 1000)",1,4,0.6875,0.6875
morph-gen,True,1,"(100, 1000)",2,17,0.6875,0.6875
morph-gen,True,1,"(100, 1000)",3,11,0.6875,0.6875
morph-gen,True,1,"(1000,)",1,40,0.8688524590163934,0.8688524590163934
morph-gen,True,1,"(1000,)",2,20,0.8688524590163934,0.8688524590163934
morph-gen,True,1,"(1000,)",3,1,0.8688524590163934,0.8688524590163934
morph-disc,True,3,"(0, 10)",1,1,0.9433962264150944,1.0
morph-disc,True,3,"(0, 10)",2,7,0.9433962264150944,1.0
morph-disc,True,3,"(0, 10)",3,11,0.9433962264150944,1.0
morph-disc,True,3,"(0, 10)",4,37,0.9433962264150944,1.0
