task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-disc,True,5,"(0, 10)",1,46,0.9421487603305785,0.9958677685950413
morph-disc,True,5,"(0, 10)",2,47,0.9421487603305785,0.9958677685950413
morph-disc,True,5,"(0, 10)",3,48,0.9421487603305785,0.9958677685950413
morph-disc,True,5,"(0, 10)",4,49,0.9421487603305785,0.9958677685950413
morph-disc,True,5,"(0, 10)",5,44,0.9421487603305785,0.9958677685950413
morph-disc,True,5,"(0, 10)",6,8,0.9421487603305785,0.9958677685950413
morph-disc,False,5,"(0, 10)",1,41,0.9957446808510638,1.0
morph-disc,False,5,"(0, 10)",2,47,0.9957446808510638,1.0
morph-disc,False,5,"(0, 10)",3,46,0.9957446808510638,1.0
morph-disc,False,5,"(0, 10)",4,49,0.9957446808510638,1.0
morph-disc,False,5,"(0, 10)",5,44,0.9957446808510638,1.0
morph-disc,False,5,"(0, 10)",6,8,0.9957446808510638,1.0
morph-disc,False,5,"(10, 100)",1,3,1.0,1.0
morph-disc,False,5,"(10, 100)",3,1,1.0,1.0
morph-disc,False,5,"(100, 1000)",1,2,1.0,1.0
morph-disc,False,5,"(100, 1000)",3,1,1.0,1.0
morph-gen,True,5,"(0, 10)",1,46,0.6322314049586777,0.6446280991735537
morph-gen,True,5,"(0, 10)",2,47,0.6322314049586777,0.6446280991735537
morph-gen,True,5,"(0, 10)",3,48,0.6322314049586777,0.6446280991735537
morph-gen,True,5,"(0, 10)",4,49,0.6322314049586777,0.6446280991735537
morph-gen,True,5,"(0, 10)",5,44,0.6322314049586777,0.6446280991735537
morph-gen,True,5,"(0, 10)",6,8,0.6322314049586777,0.6446280991735537
morph-disc,True,1,"(0, 10)",1,46,0.9421487603305785,0.9958677685950413
morph-disc,True,1,"(0, 10)",2,47,0.9421487603305785,0.9958677685950413
morph-disc,True,1,"(0, 10)",3,48,0.9421487603305785,0.9958677685950413
morph-disc,True,1,"(0, 10)",4,49,0.9421487603305785,0.9958677685950413
morph-disc,True,1,"(0, 10)",5,44,0.9421487603305785,0.9958677685950413
morph-disc,True,1,"(0, 10)",6,8,0.9421487603305785,0.9958677685950413
morph-gen,False,3,"(0, 10)",1,41,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(0, 10)",2,47,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(0, 10)",3,46,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(0, 10)",4,49,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(0, 10)",5,44,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(0, 10)",6,8,0.7914893617021277,0.7787234042553192
morph-gen,False,3,"(10, 100)",1,3,1.0,1.0
morph-gen,False,3,"(10, 100)",3,1,1.0,1.0
morph-gen,False,3,"(100, 1000)",1,2,1.0,1.0
morph-gen,False,3,"(100, 1000)",3,1,1.0,1.0
morph-gen,False,5,"(0, 10)",1,41,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(0, 10)",2,47,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(0, 10)",3,46,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(0, 10)",4,49,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(0, 10)",5,44,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(0, 10)",6,8,0.8212765957446808,0.8085106382978723
morph-gen,False,5,"(10, 100)",1,3,1.0,1.0
morph-gen,False,5,"(10, 100)",3,1,1.0,1.0
morph-gen,False,5,"(100, 1000)",1,2,1.0,1.0
morph-gen,False,5,"(100, 1000)",3,1,1.0,1.0
morph-gen,True,1,"(0, 10)",1,46,0.5041322314049587,0.5206611570247934
morph-gen,True,1,"(0, 10)",2,47,0.5041322314049587,0.5206611570247934
morph-gen,True,1,"(0, 10)",3,48,0.5041322314049587,0.5206611570247934
morph-gen,True,1,"(0, 10)",4,49,0.5041322314049587,0.5206611570247934
morph-gen,True,1,"(0, 10)",5,44,0.5041322314049587,0.5206611570247934
morph-gen,True,1,"(0, 10)",6,8,0.5041322314049587,0.5206611570247934
morph-disc,True,3,"(0, 10)",1,46,0.9421487603305785,0.9917355371900827
morph-disc,True,3,"(0, 10)",2,47,0.9421487603305785,0.9917355371900827
morph-disc,True,3,"(0, 10)",3,48,0.9421487603305785,0.9917355371900827
morph-disc,True,3,"(0, 10)",4,49,0.9421487603305785,0.9917355371900827
morph-disc,True,3,"(0, 10)",5,44,0.9421487603305785,0.9917355371900827
morph-disc,True,3,"(0, 10)",6,8,0.9421487603305785,0.9917355371900827
morph-disc,False,1,"(0, 10)",1,41,0.9872340425531915,1.0
morph-disc,False,1,"(0, 10)",2,47,0.9872340425531915,1.0
morph-disc,False,1,"(0, 10)",3,46,0.9872340425531915,1.0
morph-disc,False,1,"(0, 10)",4,49,0.9872340425531915,1.0
morph-disc,False,1,"(0, 10)",5,44,0.9872340425531915,1.0
morph-disc,False,1,"(0, 10)",6,8,0.9872340425531915,1.0
morph-disc,False,1,"(10, 100)",1,3,1.0,1.0
morph-disc,False,1,"(10, 100)",3,1,1.0,1.0
morph-disc,False,1,"(100, 1000)",1,2,1.0,1.0
morph-disc,False,1,"(100, 1000)",3,1,1.0,1.0
morph-gen,True,3,"(0, 10)",1,46,0.5826446280991735,0.5785123966942148
morph-gen,True,3,"(0, 10)",2,47,0.5826446280991735,0.5785123966942148
morph-gen,True,3,"(0, 10)",3,48,0.5826446280991735,0.5785123966942148
