language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,1,0.81,0.0,0.7577777777777778,0.6533333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,2,0.7892976588628763,0.0,0.7288888888888889,0.6066666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,3,0.87248322147651,0.0,0.8272169312169312,0.5066666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,4,0.8493333333333334,0.0,0.7870396825396825,0.42
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,5,0.8413333333333334,0.0,0.7947804232804233,0.43333333333333335
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,6,0.824,0.0,0.788600529100529,0.4066666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,7,0.8684563758389262,0.0,0.8403084052412911,0.5302013422818792
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,1,0.9533333333333334,0.9533333333333334,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,2,0.7333333333333333,0.8266666666666667,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,3,0.58,0.6666666666666666,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,4,0.31333333333333335,0.4533333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,5,0.24,0.3333333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,6,0.12666666666666668,0.14,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,7,0.12751677852348994,0.14093959731543623,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,1,0.95,0.0,0.9355555555555556,0.9066666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,2,0.9063545150501672,0.0,0.8777777777777778,0.82
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,3,0.959731543624161,0.0,0.9146825396825397,0.8066666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,4,0.932,0.0,0.8333994708994709,0.6666666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,5,0.944,0.0,0.876984126984127,0.7333333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,6,0.924,0.0,0.8583677248677248,0.6733333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,7,0.9449664429530201,0.0,0.9104479599446043,0.738255033557047
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,1,0.9866666666666667,0.9866666666666667,0,0
