language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,1,0.95,0.0,0.9333333333333333,0.9
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,2,0.95,0.0,0.9366666666666666,0.91
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,3,0.9476861167002012,0.0,0.9196428571428571,0.75
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,4,0.962,0.0,0.9411706349206349,0.83
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,5,0.934,0.0,0.9186031746031746,0.73
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,1,0.76,0.0,0.6866666666666666,0.54
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,2,0.825,0.0,0.77,0.66
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,3,0.884,0.0,0.8521825396825397,0.54
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,4,0.858,0.0,0.7865119047619047,0.49
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,5,0.848,0.0,0.8138968253968254,0.44
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,1,0.78,0.0,0.72,0.6
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,2,0.8090452261306532,0.0,0.7566666666666667,0.66
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,3,0.8848484848484849,0.0,0.8011230158730158,0.53
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,4,0.89,0.0,0.7806587301587301,0.53
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,5,0.88,0.0,0.7807539682539683,0.52
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,1,0.825,0.0,0.78,0.69
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,2,0.8140703517587939,0.0,0.76,0.65
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,3,0.87,0.0,0.8378492063492063,0.51
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,4,0.834,0.0,0.762702380952381,0.38
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,3,5,0.832,0.0,0.788547619047619,0.4
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,1,1,0.93,0.93,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,1,2,0.66,0.78,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,1,3,0.47,0.54,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,1,4,0.25,0.35,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,1,5,0.19,0.25,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,1,0.95,0.95,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,2,0.75,0.83,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,3,0.56,0.63,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,4,0.29,0.41,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,5,5,0.24,0.35,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,3,1,0.93,0.93,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,3,2,0.76,0.84,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,3,3,0.62,0.68,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,3,4,0.29,0.4,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,True,3,5,0.18,0.23,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,1,0.955,0.0,0.94,0.91
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,2,0.95,0.0,0.9333333333333333,0.9
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,3,0.9578313253012049,0.0,0.9353174603174603,0.81
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,4,0.96,0.0,0.9174603174603174,0.8
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,5,0.948,0.0,0.932936507936508,0.76
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,1,0.98,0.98,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,2,0.85,0.85,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,3,0.73,0.75,0,0
