language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,1,0.9333333333333333,0.0,0.92,0.89
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,2,0.96,0.0,0.9466666666666667,0.92
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,3,0.97,0.0,0.942063492063492,0.85
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,4,0.9138276553106213,0.0,0.8856150793650793,0.67
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,5,0.874,0.0,0.8446984126984127,0.57
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,1,0.90625,0.0,0.8866666666666667,0.85
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,2,0.93,0.0,0.9066666666666666,0.86
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,3,0.958,0.0,0.9442460317460317,0.8
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,4,0.9438877755511023,0.0,0.9293650793650794,0.76
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,5,0.892,0.0,0.8701904761904762,0.61
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,1,0.97,0.97,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,2,0.78,0.79,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,3,0.57,0.57,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,4,0.42,0.44,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,5,0.29,0.29,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,1,0.95,0.95,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,2,0.82,0.82,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,3,0.55,0.56,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,4,0.46,0.47,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,5,0.3,0.31,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,1,0.94,0.94,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,2,0.8,0.8,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,3,0.69,0.7,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,4,0.37,0.41,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,5,0.3,0.31,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,1,0.8950617283950617,0.0,0.87,0.83
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,2,0.935,0.0,0.9133333333333333,0.87
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,3,0.974,0.0,0.9436507936507936,0.87
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,4,0.932,0.0,0.879515873015873,0.69
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,5,0.902,0.0,0.8403769841269841,0.62
