language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence,random_accuracy,random_f1,random_coherence,majority_accuracy,majority_f1,majority_coherence
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,1,0.8066666666666666,0.0,0.7533333333333333,0.6466666666666666,0.4266666666666667,0.34888888888888886,0.19333333333333333,0.5,0.3333333333333333,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,2,0.8127090301003345,0.0,0.7533333333333333,0.6333333333333333,0.47157190635451507,0.3888888888888889,0.22666666666666666,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,3,0.6604026845637584,0.0,0.6392486772486772,0.14,0.5046979865771812,0.43197354497354495,0.03333333333333333,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,4,0.712,0.0,0.6777037037037037,0.24,0.5026666666666667,0.44336243386243385,0.04,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,5,0.708,0.0,0.6712539682539682,0.23333333333333334,0.5173333333333333,0.44237830687830687,0.02,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,6,0.6773333333333333,0.0,0.6468941798941799,0.22,0.47733333333333333,0.40935714285714286,0.03333333333333333,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,3,7,0.7610738255033557,0.0,0.7107222754873761,0.2751677852348993,0.5033557046979866,0.41957228081389153,0,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,1,0.6833333333333333,0.0,0.5866666666666667,0.3933333333333333,0.5466666666666666,0.45999999999999996,0.2866666666666667,0.5,0.3333333333333333,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,2,0.6321070234113713,0.0,0.5111111111111111,0.2733333333333333,0.5351170568561873,0.4577777777777778,0.3,0.4983277591973244,0.3311111111111111,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,3,0.87248322147651,0.0,0.6869920634920634,0.42,0.4993288590604027,0.4182936507936508,0.02,0.7986577181208053,0.44340740740740736,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,4,0.8413333333333334,0.0,0.5934206349206349,0.24666666666666667,0.5013333333333333,0.4221058201058201,0.02666666666666667,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,5,0.856,0.0,0.6290343915343916,0.29333333333333333,0.4786666666666667,0.4038201058201058,0.013333333333333334,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,6,0.8213333333333334,0.0,0.5304232804232804,0.14,0.492,0.42636243386243383,0.04,0.8,0.4444444444444444,0
tr,morph_disc_tr,tr-llama-8b,morph-disc,False,1,7,0.8134228187919463,0.0,0.4871231490359007,0.0738255033557047,0.4818791946308725,0.41792638755726,0.026845637583892617,0.8,0.4444444444444444,0
tr,morph_gen_tr,tr-llama-8b,morph-gen,True,1,1,0.02666666666666667,0.02,0,0,0.0,0,0,0.0,0,0
tr,morph_gen_tr,tr-llama-8b,morph-gen,True,1,2,0.02,0.013333333333333334,0,0,0.0,0,0,0.0,0,0
